Datum Zeit,Leipzig-Mitte SO2
,µg/m³
01-07-00 00:00,
30-06-00 23:00,5.0
30-06-00 22:00,4.5
30-06-00 21:00,4.3
30-06-00 20:00,5.4
30-06-00 19:00,5.4
30-06-00 18:00,5.3
30-06-00 17:00,5.2
30-06-00 16:00,5.6
30-06-00 15:00,5.1
30-06-00 14:00,4.2
30-06-00 13:00,4.3
30-06-00 12:00,6.4
30-06-00 11:00,7.4
30-06-00 10:00,
30-06-00 09:00,9.6
30-06-00 08:00,6.1
30-06-00 07:00,5.4
30-06-00 06:00,5.3
30-06-00 05:00,4.8
30-06-00 04:00,3.9
30-06-00 03:00,2.9
30-06-00 02:00,2.2
30-06-00 01:00,3.2
30-06-00 00:00,
29-06-00 23:00,1.9
29-06-00 22:00,2.3
29-06-00 21:00,3.6
29-06-00 20:00,5.3
29-06-00 19:00,5.5
29-06-00 18:00,4.8
29-06-00 17:00,4.1
29-06-00 16:00,4.2
29-06-00 15:00,6.1
29-06-00 14:00,4.4
29-06-00 13:00,
29-06-00 12:00,6.4
29-06-00 11:00,
29-06-00 10:00,
29-06-00 09:00,
29-06-00 08:00,
29-06-00 07:00,
29-06-00 06:00,
29-06-00 05:00,
29-06-00 04:00,
29-06-00 03:00,
29-06-00 02:00,
29-06-00 01:00,
29-06-00 00:00,
28-06-00 23:00,
28-06-00 22:00,
28-06-00 21:00,
28-06-00 20:00,
28-06-00 19:00,
28-06-00 18:00,
28-06-00 17:00,
28-06-00 16:00,
28-06-00 15:00,
28-06-00 14:00,
28-06-00 13:00,
28-06-00 12:00,
28-06-00 11:00,
28-06-00 10:00,
28-06-00 09:00,
28-06-00 08:00,
28-06-00 07:00,
28-06-00 06:00,
28-06-00 05:00,
28-06-00 04:00,
28-06-00 03:00,
28-06-00 02:00,
28-06-00 01:00,
28-06-00 00:00,
27-06-00 23:00,2.1
27-06-00 22:00,1.8
27-06-00 21:00,2.1
27-06-00 20:00,2.3
27-06-00 19:00,2.6
27-06-00 18:00,4.0
27-06-00 17:00,6.3
27-06-00 16:00,6.0
27-06-00 15:00,4.4
27-06-00 14:00,4.6
27-06-00 13:00,3.3
27-06-00 12:00,2.6
27-06-00 11:00,2.5
27-06-00 10:00,2.2
27-06-00 09:00,1.8
27-06-00 08:00,2.7
27-06-00 07:00,3.0
27-06-00 06:00,1.3
27-06-00 05:00,
27-06-00 04:00,1.0
27-06-00 03:00,1.0
27-06-00 02:00,1.0
27-06-00 01:00,1.0
27-06-00 00:00,
26-06-00 23:00,2.4
26-06-00 22:00,2.1
26-06-00 21:00,2.8
