Datum Zeit,Zittau-Ost O3
,µg/m³
01-02-03 00:00,44
31-01-03 23:00,28
31-01-03 22:00,23
31-01-03 21:00,26
31-01-03 20:00,27
31-01-03 19:00,34
31-01-03 18:00,41
31-01-03 17:00,36
31-01-03 16:00,36
31-01-03 15:00,40
31-01-03 14:00,53
31-01-03 13:00,31
31-01-03 12:00,30
31-01-03 11:00,22
31-01-03 10:00,13
31-01-03 09:00,5
31-01-03 08:00,2
31-01-03 07:00,3
31-01-03 06:00,4
31-01-03 05:00,6
31-01-03 04:00,14
31-01-03 03:00,11
31-01-03 02:00,10
31-01-03 01:00,9
31-01-03 00:00,4
30-01-03 23:00,2
30-01-03 22:00,6
30-01-03 21:00,5
30-01-03 20:00,14
30-01-03 19:00,19
30-01-03 18:00,29
30-01-03 17:00,31
30-01-03 16:00,40
30-01-03 15:00,51
30-01-03 14:00,56
30-01-03 13:00,62
30-01-03 12:00,62
30-01-03 11:00,55
30-01-03 10:00,52
30-01-03 09:00,37
30-01-03 08:00,47
30-01-03 07:00,60
30-01-03 06:00,60
30-01-03 05:00,62
30-01-03 04:00,53
30-01-03 03:00,57
30-01-03 02:00,55
30-01-03 01:00,58
30-01-03 00:00,53
29-01-03 23:00,42
29-01-03 22:00,39
29-01-03 21:00,45
29-01-03 20:00,39
29-01-03 19:00,23
29-01-03 18:00,23
29-01-03 17:00,35
29-01-03 16:00,36
29-01-03 15:00,47
29-01-03 14:00,56
29-01-03 13:00,65
29-01-03 12:00,56
29-01-03 11:00,52
29-01-03 10:00,54
29-01-03 09:00,60
29-01-03 08:00,49
29-01-03 07:00,51
29-01-03 06:00,67
29-01-03 05:00,66
29-01-03 04:00,64
29-01-03 03:00,60
29-01-03 02:00,58
29-01-03 01:00,56
29-01-03 00:00,50
28-01-03 23:00,64
28-01-03 22:00,64
28-01-03 21:00,68
28-01-03 20:00,65
28-01-03 19:00,68
28-01-03 18:00,68
28-01-03 17:00,73
28-01-03 16:00,69
28-01-03 15:00,70
28-01-03 14:00,75
28-01-03 13:00,73
28-01-03 12:00,69
28-01-03 11:00,80
28-01-03 10:00,67
28-01-03 09:00,50
28-01-03 08:00,19
28-01-03 07:00,17
28-01-03 06:00,16
28-01-03 05:00,18
28-01-03 04:00,22
28-01-03 03:00,22
28-01-03 02:00,21
28-01-03 01:00,17
28-01-03 00:00,16
27-01-03 23:00,15
27-01-03 22:00,14
27-01-03 21:00,14
27-01-03 20:00,15
27-01-03 19:00,11
27-01-03 18:00,9
27-01-03 17:00,9
27-01-03 16:00,12
27-01-03 15:00,17
27-01-03 14:00,23
27-01-03 13:00,22
27-01-03 12:00,24
27-01-03 11:00,29
27-01-03 10:00,31
27-01-03 09:00,32
27-01-03 08:00,34
27-01-03 07:00,39
27-01-03 06:00,39
27-01-03 05:00,38
27-01-03 04:00,40
27-01-03 03:00,46
27-01-03 02:00,44
27-01-03 01:00,39
27-01-03 00:00,33
26-01-03 23:00,26
26-01-03 22:00,28
26-01-03 21:00,29
26-01-03 20:00,31
26-01-03 19:00,32
26-01-03 18:00,34
26-01-03 17:00,36
26-01-03 16:00,35
26-01-03 15:00,40
26-01-03 14:00,38
26-01-03 13:00,39
26-01-03 12:00,41
26-01-03 11:00,38
26-01-03 10:00,39
26-01-03 09:00,38
26-01-03 08:00,39
26-01-03 07:00,40
26-01-03 06:00,37
26-01-03 05:00,37
26-01-03 04:00,40
26-01-03 03:00,43
26-01-03 02:00,44
26-01-03 01:00,42
26-01-03 00:00,42
