Datum Zeit,Leipzig-West BEN
,µg/m³
01-02-03 00:00,1.5
31-01-03 23:00,1.5
31-01-03 22:00,1.8
31-01-03 21:00,1.7
31-01-03 20:00,1.6
31-01-03 19:00,1.6
31-01-03 18:00,1.6
31-01-03 17:00,1.9
31-01-03 16:00,1.6
31-01-03 15:00,1.6
31-01-03 14:00,1.6
31-01-03 13:00,1.5
31-01-03 12:00,1.5
31-01-03 11:00,1.4
31-01-03 10:00,1.4
31-01-03 09:00,1.3
31-01-03 08:00,1.4
31-01-03 07:00,1.3
31-01-03 06:00,1.1
31-01-03 05:00,1.1
31-01-03 04:00,1.3
31-01-03 03:00,1.5
31-01-03 02:00,1.4
31-01-03 01:00,1.5
31-01-03 00:00,1.9
30-01-03 23:00,1.5
30-01-03 22:00,2.0
30-01-03 21:00,2.0
30-01-03 20:00,2.0
30-01-03 19:00,1.9
30-01-03 18:00,1.6
30-01-03 17:00,1.3
30-01-03 16:00,1.3
30-01-03 15:00,1.0
30-01-03 14:00,1.1
30-01-03 13:00,1.8
30-01-03 12:00,1.6
30-01-03 11:00,1.9
30-01-03 10:00,2.1
30-01-03 09:00,2.2
30-01-03 08:00,2.2
30-01-03 07:00,1.4
30-01-03 06:00,
30-01-03 05:00,
30-01-03 04:00,
30-01-03 03:00,
30-01-03 02:00,
30-01-03 01:00,0.9
30-01-03 00:00,0.9
29-01-03 23:00,0.9
29-01-03 22:00,1.1
29-01-03 21:00,1.2
29-01-03 20:00,1.1
29-01-03 19:00,1.5
29-01-03 18:00,1.7
29-01-03 17:00,1.2
29-01-03 16:00,1.4
29-01-03 15:00,1.2
29-01-03 14:00,1.2
29-01-03 13:00,1.4
29-01-03 12:00,1.4
29-01-03 11:00,1.4
29-01-03 10:00,1.4
29-01-03 09:00,1.4
29-01-03 08:00,1.6
29-01-03 07:00,1.2
29-01-03 06:00,0.9
29-01-03 05:00,0.8
29-01-03 04:00,0.9
29-01-03 03:00,0.8
29-01-03 02:00,0.9
29-01-03 01:00,0.9
29-01-03 00:00,0.9
28-01-03 23:00,1.0
28-01-03 22:00,1.0
28-01-03 21:00,1.1
28-01-03 20:00,1.3
28-01-03 19:00,1.3
