Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
31-01-03,16
30-01-03,8
29-01-03,5
28-01-03,6
27-01-03,7
26-01-03,19
25-01-03,22
24-01-03,36
23-01-03,35
22-01-03,42
21-01-03,31
20-01-03,35
19-01-03,36
18-01-03,27
17-01-03,22
16-01-03,11
15-01-03,12
14-01-03,7
13-01-03,11
12-01-03,18
11-01-03,19
10-01-03,62
09-01-03,92
08-01-03,41
07-01-03,35
06-01-03,28
05-01-03,13
04-01-03,16
03-01-03,6
02-01-03,5
01-01-03,24

