Datum Zeit,Borna BEN
,µg/m³
01-02-03 00:00,1.2
31-01-03 23:00,1.5
31-01-03 22:00,1.6
31-01-03 21:00,1.4
31-01-03 20:00,1.4
31-01-03 19:00,3.6
31-01-03 18:00,5.9
31-01-03 17:00,6.1
31-01-03 16:00,4.5
31-01-03 15:00,6.2
31-01-03 14:00,5.9
31-01-03 13:00,3.5
31-01-03 12:00,3.1
31-01-03 11:00,4.1
31-01-03 10:00,2.3
31-01-03 09:00,2.6
31-01-03 08:00,2.4
31-01-03 07:00,1.9
31-01-03 06:00,1.5
31-01-03 05:00,1.5
31-01-03 04:00,1.5
31-01-03 03:00,1.7
31-01-03 02:00,1.6
31-01-03 01:00,2.0
31-01-03 00:00,2.2
30-01-03 23:00,2.7
30-01-03 22:00,3.6
30-01-03 21:00,3.8
30-01-03 20:00,6.7
30-01-03 19:00,7.7
30-01-03 18:00,7.4
30-01-03 17:00,6.9
30-01-03 16:00,4.9
30-01-03 15:00,3.1
30-01-03 14:00,3.1
30-01-03 13:00,3.5
30-01-03 12:00,3.6
30-01-03 11:00,5.3
30-01-03 10:00,4.3
30-01-03 09:00,5.0
30-01-03 08:00,8.0
30-01-03 07:00,4.9
30-01-03 06:00,2.4
30-01-03 05:00,0.9
30-01-03 04:00,0.8
30-01-03 03:00,0.7
30-01-03 02:00,0.8
30-01-03 01:00,0.9
30-01-03 00:00,0.8
29-01-03 23:00,1.0
29-01-03 22:00,1.4
29-01-03 21:00,3.0
29-01-03 20:00,2.2
29-01-03 19:00,4.2
29-01-03 18:00,2.8
29-01-03 17:00,5.0
29-01-03 16:00,4.0
29-01-03 15:00,3.2
29-01-03 14:00,2.9
29-01-03 13:00,2.8
29-01-03 12:00,3.1
29-01-03 11:00,3.7
29-01-03 10:00,2.5
29-01-03 09:00,2.0
29-01-03 08:00,3.9
29-01-03 07:00,2.7
29-01-03 06:00,1.5
29-01-03 05:00,1.1
29-01-03 04:00,
29-01-03 03:00,
29-01-03 02:00,
29-01-03 01:00,
29-01-03 00:00,0.8
28-01-03 23:00,1.1
28-01-03 22:00,1.3
28-01-03 21:00,1.5
28-01-03 20:00,2.1
28-01-03 19:00,3.1
28-01-03 18:00,2.7
28-01-03 17:00,3.1
28-01-03 16:00,2.5
28-01-03 15:00,2.3
28-01-03 14:00,2.1
28-01-03 13:00,2.0
28-01-03 12:00,1.9
28-01-03 11:00,2.5
28-01-03 10:00,1.6
28-01-03 09:00,0.7
28-01-03 08:00,1.2
28-01-03 07:00,1.7
28-01-03 06:00,1.0
28-01-03 05:00,0.7
28-01-03 04:00,0.8
28-01-03 03:00,0.9
28-01-03 02:00,0.9
28-01-03 01:00,0.9
28-01-03 00:00,1.0
27-01-03 23:00,1.3
27-01-03 22:00,1.5
27-01-03 21:00,2.1
27-01-03 20:00,2.4
27-01-03 19:00,2.7
27-01-03 18:00,2.6
27-01-03 17:00,4.0
27-01-03 16:00,3.2
27-01-03 15:00,3.1
27-01-03 14:00,2.6
27-01-03 13:00,2.8
27-01-03 12:00,2.9
27-01-03 11:00,6.5
27-01-03 10:00,5.6
27-01-03 09:00,4.1
27-01-03 08:00,5.0
27-01-03 07:00,3.6
27-01-03 06:00,2.1
27-01-03 05:00,1.3
27-01-03 04:00,1.2
27-01-03 03:00,1.3
27-01-03 02:00,1.3
27-01-03 01:00,1.3
27-01-03 00:00,1.4
26-01-03 23:00,1.9
26-01-03 22:00,2.1
26-01-03 21:00,2.7
26-01-03 20:00,2.4
26-01-03 19:00,2.8
26-01-03 18:00,3.3
26-01-03 17:00,3.4
26-01-03 16:00,2.8
26-01-03 15:00,3.1
26-01-03 14:00,2.8
26-01-03 13:00,3.5
26-01-03 12:00,2.9
26-01-03 11:00,2.6
26-01-03 10:00,1.9
26-01-03 09:00,1.6
26-01-03 08:00,1.6
26-01-03 07:00,1.4
26-01-03 06:00,1.3
26-01-03 05:00,1.3
26-01-03 04:00,1.2
26-01-03 03:00,1.2
26-01-03 02:00,1.4
26-01-03 01:00,1.3
26-01-03 00:00,1.8
25-01-03 23:00,2.2
25-01-03 22:00,2.0
25-01-03 21:00,2.4
25-01-03 20:00,2.3
25-01-03 19:00,2.4
25-01-03 18:00,2.8
25-01-03 17:00,2.7
25-01-03 16:00,2.7
25-01-03 15:00,2.6
25-01-03 14:00,2.6
25-01-03 13:00,2.8
25-01-03 12:00,3.8
25-01-03 11:00,5.1
25-01-03 10:00,6.9
25-01-03 09:00,
25-01-03 08:00,
25-01-03 07:00,
25-01-03 06:00,
25-01-03 05:00,2.4
25-01-03 04:00,2.3
25-01-03 03:00,2.3
25-01-03 02:00,2.7
25-01-03 01:00,3.2
25-01-03 00:00,3.4
24-01-03 23:00,2.4
24-01-03 22:00,2.2
24-01-03 21:00,2.0
24-01-03 20:00,2.0
24-01-03 19:00,2.3
24-01-03 18:00,2.5
24-01-03 17:00,3.1
24-01-03 16:00,2.8
24-01-03 15:00,1.9
24-01-03 14:00,1.9
24-01-03 13:00,1.8
24-01-03 12:00,1.8
24-01-03 11:00,1.8
24-01-03 10:00,1.9
24-01-03 09:00,1.2
24-01-03 08:00,1.2
24-01-03 07:00,1.0
24-01-03 06:00,1.0
24-01-03 05:00,2.4
24-01-03 04:00,1.6
24-01-03 03:00,1.3
24-01-03 02:00,1.3
24-01-03 01:00,1.4
24-01-03 00:00,1.8
23-01-03 23:00,1.8
23-01-03 22:00,1.7
23-01-03 21:00,2.9
23-01-03 20:00,5.1
23-01-03 19:00,7.0
23-01-03 18:00,7.2
23-01-03 17:00,8.1
23-01-03 16:00,8.2
23-01-03 15:00,4.3
23-01-03 14:00,5.3
23-01-03 13:00,3.8
23-01-03 12:00,4.7
23-01-03 11:00,6.7
23-01-03 10:00,6.4
23-01-03 09:00,5.0
23-01-03 08:00,6.3
23-01-03 07:00,4.4
23-01-03 06:00,2.6
23-01-03 05:00,2.0
23-01-03 04:00,1.8
23-01-03 03:00,2.1
23-01-03 02:00,2.4
23-01-03 01:00,2.8
23-01-03 00:00,3.0
22-01-03 23:00,5.2
22-01-03 22:00,4.3
22-01-03 21:00,5.6
22-01-03 20:00,5.3
22-01-03 19:00,6.5
22-01-03 18:00,8.5
22-01-03 17:00,10.0
22-01-03 16:00,6.8
22-01-03 15:00,5.5
22-01-03 14:00,5.2
22-01-03 13:00,5.1
22-01-03 12:00,5.2
22-01-03 11:00,6.0
22-01-03 10:00,6.5
22-01-03 09:00,7.0
22-01-03 08:00,7.2
22-01-03 07:00,7.5
22-01-03 06:00,5.0
22-01-03 05:00,3.7
22-01-03 04:00,3.5
22-01-03 03:00,3.5
22-01-03 02:00,3.5
22-01-03 01:00,3.5
22-01-03 00:00,3.7
21-01-03 23:00,4.8
21-01-03 22:00,5.9
21-01-03 21:00,7.5
21-01-03 20:00,6.8
