Datum Zeit,Leipzig-Mitte NO
,µg/m³
01-02-03 00:00,8
31-01-03 23:00,21
31-01-03 22:00,28
31-01-03 21:00,65
31-01-03 20:00,129
31-01-03 19:00,139
31-01-03 18:00,116
31-01-03 17:00,116
31-01-03 16:00,105
31-01-03 15:00,108
31-01-03 14:00,164
31-01-03 13:00,191
31-01-03 12:00,110
31-01-03 11:00,102
31-01-03 10:00,82
31-01-03 09:00,140
31-01-03 08:00,146
31-01-03 07:00,95
31-01-03 06:00,44
31-01-03 05:00,26
31-01-03 04:00,8
31-01-03 03:00,16
31-01-03 02:00,23
31-01-03 01:00,19
31-01-03 00:00,26
30-01-03 23:00,32
30-01-03 22:00,30
30-01-03 21:00,31
30-01-03 20:00,66
30-01-03 19:00,47
30-01-03 18:00,62
30-01-03 17:00,51
30-01-03 16:00,58
30-01-03 15:00,61
30-01-03 14:00,109
30-01-03 13:00,101
30-01-03 12:00,67
30-01-03 11:00,109
30-01-03 10:00,55
30-01-03 09:00,74
30-01-03 08:00,48
30-01-03 07:00,55
30-01-03 06:00,38
30-01-03 05:00,28
30-01-03 04:00,21
30-01-03 03:00,27
30-01-03 02:00,29
30-01-03 01:00,32
30-01-03 00:00,35
29-01-03 23:00,46
29-01-03 22:00,56
29-01-03 21:00,65
29-01-03 20:00,72
29-01-03 19:00,100
29-01-03 18:00,47
29-01-03 17:00,112
29-01-03 16:00,167
29-01-03 15:00,168
29-01-03 14:00,101
29-01-03 13:00,59
29-01-03 12:00,47
29-01-03 11:00,43
29-01-03 10:00,49
29-01-03 09:00,49
29-01-03 08:00,25
29-01-03 07:00,12
29-01-03 06:00,9
29-01-03 05:00,3
29-01-03 04:00,2
29-01-03 03:00,4
29-01-03 02:00,6
29-01-03 01:00,4
29-01-03 00:00,5
28-01-03 23:00,10
28-01-03 22:00,15
28-01-03 21:00,16
28-01-03 20:00,25
28-01-03 19:00,26
28-01-03 18:00,33
28-01-03 17:00,37
28-01-03 16:00,45
28-01-03 15:00,55
28-01-03 14:00,84
28-01-03 13:00,49
28-01-03 12:00,88
28-01-03 11:00,90
28-01-03 10:00,106
28-01-03 09:00,89
28-01-03 08:00,122
28-01-03 07:00,38
28-01-03 06:00,11
28-01-03 05:00,3
28-01-03 04:00,1
28-01-03 03:00,3
28-01-03 02:00,4
28-01-03 01:00,6
28-01-03 00:00,10
27-01-03 23:00,16
27-01-03 22:00,17
27-01-03 21:00,25
27-01-03 20:00,29
27-01-03 19:00,40
27-01-03 18:00,54
27-01-03 17:00,65
27-01-03 16:00,53
27-01-03 15:00,47
27-01-03 14:00,46
27-01-03 13:00,44
27-01-03 12:00,45
27-01-03 11:00,42
27-01-03 10:00,44
27-01-03 09:00,53
27-01-03 08:00,25
27-01-03 07:00,19
27-01-03 06:00,13
27-01-03 05:00,3
27-01-03 04:00,3
27-01-03 03:00,3
27-01-03 02:00,8
27-01-03 01:00,5
27-01-03 00:00,11
26-01-03 23:00,7
26-01-03 22:00,11
26-01-03 21:00,13
26-01-03 20:00,8
26-01-03 19:00,27
26-01-03 18:00,25
26-01-03 17:00,29
26-01-03 16:00,34
26-01-03 15:00,29
26-01-03 14:00,16
26-01-03 13:00,18
26-01-03 12:00,20
26-01-03 11:00,14
26-01-03 10:00,10
26-01-03 09:00,5
26-01-03 08:00,20
26-01-03 07:00,5
26-01-03 06:00,22
26-01-03 05:00,19
26-01-03 04:00,19
26-01-03 03:00,18
26-01-03 02:00,15
26-01-03 01:00,16
26-01-03 00:00,9
25-01-03 23:00,11
25-01-03 22:00,10
25-01-03 21:00,11
25-01-03 20:00,13
25-01-03 19:00,18
25-01-03 18:00,28
25-01-03 17:00,34
25-01-03 16:00,37
25-01-03 15:00,38
25-01-03 14:00,27
25-01-03 13:00,23
25-01-03 12:00,16
25-01-03 11:00,27
25-01-03 10:00,35
25-01-03 09:00,16
25-01-03 08:00,10
25-01-03 07:00,20
25-01-03 06:00,15
25-01-03 05:00,17
25-01-03 04:00,19
25-01-03 03:00,47
25-01-03 02:00,69
25-01-03 01:00,102
25-01-03 00:00,102
24-01-03 23:00,94
24-01-03 22:00,94
24-01-03 21:00,106
24-01-03 20:00,162
24-01-03 19:00,172
24-01-03 18:00,197
24-01-03 17:00,181
24-01-03 16:00,219
24-01-03 15:00,206
24-01-03 14:00,207
24-01-03 13:00,187
24-01-03 12:00,178
24-01-03 11:00,167
24-01-03 10:00,155
24-01-03 09:00,146
24-01-03 08:00,149
24-01-03 07:00,78
24-01-03 06:00,44
24-01-03 05:00,30
24-01-03 04:00,22
24-01-03 03:00,16
24-01-03 02:00,26
24-01-03 01:00,31
24-01-03 00:00,49
23-01-03 23:00,92
