Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
29-02-12,15.06
28-02-12,16.85
27-02-12,15.75
26-02-12,5.98
25-02-12,6.51
24-02-12,11.19
23-02-12,15.83
22-02-12,20.07
21-02-12,12.14
20-02-12,9.51
19-02-12,5.39
18-02-12,17.69
17-02-12,11.89
16-02-12,9.93
15-02-12,6.71
14-02-12,48.89
13-02-12,32.43
12-02-12,72.84
11-02-12,71.72
10-02-12,64.93
09-02-12,48.69
08-02-12,66.21
07-02-12,43.93
06-02-12,59.34
05-02-12,38.88
04-02-12,38.53
03-02-12,45.34
02-02-12,46.27
01-02-12,55.48

