Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
29-02-12,8.60
28-02-12,8.14
27-02-12,12.13
26-02-12,5.46
25-02-12,5.57
24-02-12,6.67
23-02-12,12.69
22-02-12,13.14
21-02-12,11.74
20-02-12,9.21
19-02-12,4.00
18-02-12,7.99
17-02-12,6.22
16-02-12,11.47
15-02-12,8.20
14-02-12,22.31
13-02-12,23.54
12-02-12,42.89
11-02-12,62.49
10-02-12,52.98
09-02-12,42.20
08-02-12,71.20
07-02-12,48.61
06-02-12,54.03
05-02-12,34.24
04-02-12,30.09
03-02-12,36.33
02-02-12,56.94
01-02-12,50.24

