Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
29-02-12,14.96
28-02-12,20.57
27-02-12,19.01
26-02-12,7.48
25-02-12,9.43
24-02-12,15.66
23-02-12,20.00
22-02-12,21.69
21-02-12,15.46
20-02-12,12.48
19-02-12,5.70
18-02-12,18.00
17-02-12,19.61
16-02-12,15.76
15-02-12,11.58
14-02-12,45.91
13-02-12,47.37
12-02-12,55.06
11-02-12,52.41
10-02-12,64.56
09-02-12,43.98
08-02-12,56.76
07-02-12,44.55
06-02-12,69.37
05-02-12,45.81
04-02-12,47.56
03-02-12,55.20
02-02-12,52.63
01-02-12,53.36

