Datum Zeit,Glauchau PM10
,µg/m³
29-02-12,15
28-02-12,15
27-02-12,24
26-02-12,11
25-02-12,10
24-02-12,12
23-02-12,23
22-02-12,26
21-02-12,17
20-02-12,21
19-02-12,7
18-02-12,12
17-02-12,14
16-02-12,21
15-02-12,14
14-02-12,
13-02-12,
12-02-12,
11-02-12,
10-02-12,81
09-02-12,69
08-02-12,79
07-02-12,70
06-02-12,85
05-02-12,38
04-02-12,55
03-02-12,64
02-02-12,52
01-02-12,62

