Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
29-02-12,14.48
28-02-12,16.76
27-02-12,17.55
26-02-12,7.46
25-02-12,6.71
24-02-12,12.05
23-02-12,19.87
22-02-12,18.35
21-02-12,11.78
20-02-12,9.70
19-02-12,4.81
18-02-12,12.24
17-02-12,11.86
16-02-12,12.83
15-02-12,8.25
14-02-12,44.36
13-02-12,35.94
12-02-12,63.51
11-02-12,65.14
10-02-12,66.20
09-02-12,54.25
08-02-12,67.85
07-02-12,48.45
06-02-12,53.31
05-02-12,25.29
04-02-12,35.20
03-02-12,46.04
02-02-12,40.65
01-02-12,51.60

