Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
30-11-00,27
29-11-00,22
28-11-00,16
27-11-00,12
26-11-00,13
25-11-00,18
24-11-00,21
23-11-00,26
22-11-00,19
21-11-00,23
20-11-00,30
19-11-00,21
18-11-00,14
17-11-00,26
16-11-00,18
15-11-00,10
14-11-00,15
13-11-00,20
12-11-00,16
11-11-00,2
10-11-00,3
09-11-00,5
08-11-00,7
07-11-00,11
06-11-00,5
05-11-00,9
04-11-00,1
03-11-00,12
02-11-00,4
01-11-00,1

