Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
30-06-02,14
29-06-02,10
28-06-02,16
27-06-02,
26-06-02,22
25-06-02,15
24-06-02,15
23-06-02,17
22-06-02,19
21-06-02,19
20-06-02,28
19-06-02,28
18-06-02,23
17-06-02,16
16-06-02,17
15-06-02,16
14-06-02,14
13-06-02,15
12-06-02,14
11-06-02,12
10-06-02,17
09-06-02,18
08-06-02,15
07-06-02,16
06-06-02,17
05-06-02,27
04-06-02,19
03-06-02,15
02-06-02,13
01-06-02,13

