Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-10-12,14.89
30-10-12,10.25
29-10-12,17.24
28-10-12,10.16
27-10-12,6.71
26-10-12,6.34
25-10-12,10.82
24-10-12,22.19
23-10-12,34.61
22-10-12,30.76
21-10-12,13.57
20-10-12,15.89
19-10-12,17.72
18-10-12,15.41
17-10-12,11.51
16-10-12,11.00
15-10-12,8.99
14-10-12,5.55
13-10-12,6.51
12-10-12,15.43
11-10-12,9.60
10-10-12,6.62
09-10-12,9.04
08-10-12,6.76
07-10-12,3.83
06-10-12,4.81
05-10-12,6.39
04-10-12,5.26
03-10-12,7.46
02-10-12,10.68
01-10-12,15.12

