Datum Zeit,Schwartenberg PM10
,µg/m³
31-10-12,18
30-10-12,3
29-10-12,8
28-10-12,6
27-10-12,6
26-10-12,7
25-10-12,6
24-10-12,16
23-10-12,37
22-10-12,34
21-10-12,25
20-10-12,23
19-10-12,29
18-10-12,15
17-10-12,14
16-10-12,9
15-10-12,10
14-10-12,11
13-10-12,10
12-10-12,16
11-10-12,10
10-10-12,11
09-10-12,11
08-10-12,7
07-10-12,4
06-10-12,7
05-10-12,8
04-10-12,8
03-10-12,9
02-10-12,11
01-10-12,15

