Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-10-12,16.35
30-10-12,14.15
29-10-12,19.33
28-10-12,9.32
27-10-12,11.30
26-10-12,4.69
25-10-12,16.45
24-10-12,29.11
23-10-12,
22-10-12,31.06
21-10-12,19.54
20-10-12,29.49
19-10-12,23.41
18-10-12,14.47
17-10-12,11.55
16-10-12,11.78
15-10-12,13.08
14-10-12,9.82
13-10-12,8.40
12-10-12,15.61
11-10-12,9.63
10-10-12,7.47
09-10-12,9.89
08-10-12,6.28
07-10-12,5.29
06-10-12,4.94
05-10-12,5.31
04-10-12,4.82
03-10-12,8.15
02-10-12,13.18
01-10-12,16.68

