Datum Zeit,Brockau PM10
,µg/m³
31-10-12,17
30-10-12,11
29-10-12,15
28-10-12,14
27-10-12,6
26-10-12,10
25-10-12,15
24-10-12,27
23-10-12,44
22-10-12,35
21-10-12,31
20-10-12,25
19-10-12,16
18-10-12,17
17-10-12,11
16-10-12,12
15-10-12,10
14-10-12,7
13-10-12,12
12-10-12,18
11-10-12,13
10-10-12,13
09-10-12,13
08-10-12,9
07-10-12,5
06-10-12,8
05-10-12,8
04-10-12,7
03-10-12,10
02-10-12,16
01-10-12,14

