Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-12,14.59
30-10-12,9.60
29-10-12,16.43
28-10-12,7.54
27-10-12,3.97
26-10-12,2.83
25-10-12,4.06
24-10-12,19.33
23-10-12,12.87
22-10-12,10.40
21-10-12,24.73
20-10-12,12.34
19-10-12,14.08
18-10-12,12.30
17-10-12,6.54
16-10-12,8.89
15-10-12,6.62
14-10-12,4.17
13-10-12,5.24
12-10-12,11.27
11-10-12,6.87
10-10-12,5.90
09-10-12,7.29
08-10-12,4.07
07-10-12,4.34
06-10-12,4.02
05-10-12,3.97
04-10-12,3.47
03-10-12,5.81
02-10-12,9.90
01-10-12,10.74

