Datum Zeit,Niesky PM10
,µg/m³
31-10-12,18
30-10-12,18
29-10-12,21
28-10-12,10
27-10-12,14
26-10-12,8
25-10-12,22
24-10-12,33
23-10-12,22
22-10-12,24
21-10-12,23
20-10-12,25
19-10-12,23
18-10-12,16
17-10-12,16
16-10-12,16
15-10-12,16
14-10-12,16
13-10-12,13
12-10-12,23
11-10-12,13
10-10-12,13
09-10-12,
08-10-12,10
07-10-12,8
06-10-12,8
05-10-12,8
04-10-12,9
03-10-12,15
02-10-12,19
01-10-12,16

