Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-10-12,15.97
30-10-12,10.25
29-10-12,15.67
28-10-12,12.07
27-10-12,7.03
26-10-12,3.68
25-10-12,14.87
24-10-12,32.10
23-10-12,26.73
22-10-12,30.99
21-10-12,32.07
20-10-12,19.00
19-10-12,12.64
18-10-12,10.15
17-10-12,6.92
16-10-12,7.99
15-10-12,6.78
14-10-12,4.74
13-10-12,6.37
12-10-12,14.39
11-10-12,
10-10-12,6.33
09-10-12,7.72
08-10-12,5.90
07-10-12,3.72
06-10-12,5.06
05-10-12,4.66
04-10-12,4.30
03-10-12,6.66
02-10-12,10.57
01-10-12,11.11

