Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-10-12,14.50
30-10-12,11.07
29-10-12,18.32
28-10-12,13.12
27-10-12,11.77
26-10-12,4.94
25-10-12,14.65
24-10-12,27.32
23-10-12,29.75
22-10-12,32.77
21-10-12,20.53
20-10-12,22.55
19-10-12,17.34
18-10-12,13.91
17-10-12,13.96
16-10-12,15.45
15-10-12,12.28
14-10-12,7.44
13-10-12,9.45
12-10-12,17.42
11-10-12,10.37
10-10-12,
09-10-12,
08-10-12,7.72
07-10-12,5.73
06-10-12,7.45
05-10-12,8.11
04-10-12,10.10
03-10-12,8.80
02-10-12,18.99
01-10-12,21.72

