Datum Zeit,Zittau-Ost PM10
,µg/m³
31-10-12,26
30-10-12,22
29-10-12,27
28-10-12,13
27-10-12,11
26-10-12,13
25-10-12,19
24-10-12,31
23-10-12,31
22-10-12,36
21-10-12,19
20-10-12,29
19-10-12,24
18-10-12,15
17-10-12,20
16-10-12,23
15-10-12,15
14-10-12,19
13-10-12,25
12-10-12,24
11-10-12,19
10-10-12,16
09-10-12,14
08-10-12,13
07-10-12,8
06-10-12,10
05-10-12,9
04-10-12,10
03-10-12,20
02-10-12,30
01-10-12,27

