Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-12,8.75
29-04-12,12.35
28-04-12,12.13
27-04-12,7.94
26-04-12,5.53
25-04-12,5.55
24-04-12,6.47
23-04-12,4.68
22-04-12,4.89
21-04-12,6.76
20-04-12,11.19
19-04-12,17.20
18-04-12,19.21
17-04-12,12.64
16-04-12,6.92
15-04-12,10.86
14-04-12,18.79
13-04-12,18.25
12-04-12,13.62
11-04-12,11.21
10-04-12,7.27
09-04-12,13.63
08-04-12,16.34
07-04-12,15.79
06-04-12,29.42
05-04-12,20.02
04-04-12,19.71
03-04-12,21.79
02-04-12,8.76
01-04-12,5.23

