Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-04-12,17.95
29-04-12,13.48
28-04-12,15.74
27-04-12,14.76
26-04-12,8.61
25-04-12,7.10
24-04-12,8.68
23-04-12,7.56
22-04-12,6.29
21-04-12,8.68
20-04-12,15.59
19-04-12,16.38
18-04-12,18.53
17-04-12,13.79
16-04-12,8.29
15-04-12,16.63
14-04-12,17.54
13-04-12,21.70
12-04-12,12.77
11-04-12,11.70
10-04-12,10.15
09-04-12,12.55
08-04-12,8.87
07-04-12,14.86
06-04-12,31.27
05-04-12,21.48
04-04-12,24.54
03-04-12,21.47
02-04-12,13.31
01-04-12,7.12

