Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-12,10.99
29-04-12,12.34
28-04-12,11.57
27-04-12,6.10
26-04-12,5.36
25-04-12,4.92
24-04-12,6.98
23-04-12,4.66
22-04-12,6.95
21-04-12,5.95
20-04-12,9.72
19-04-12,17.69
18-04-12,16.94
17-04-12,10.55
16-04-12,5.14
15-04-12,13.54
14-04-12,14.32
13-04-12,15.61
12-04-12,16.67
11-04-12,9.48
10-04-12,6.34
09-04-12,11.64
08-04-12,10.30
07-04-12,12.34
06-04-12,31.13
05-04-12,13.43
04-04-12,16.14
03-04-12,23.19
02-04-12,8.69
01-04-12,5.72

