Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-12,16.53
29-04-12,13.08
28-04-12,13.80
27-04-12,14.61
26-04-12,9.91
25-04-12,7.85
24-04-12,10.33
23-04-12,8.29
22-04-12,5.16
21-04-12,9.10
20-04-12,16.39
19-04-12,19.33
18-04-12,17.91
17-04-12,15.96
16-04-12,8.46
15-04-12,16.02
14-04-12,21.62
13-04-12,20.34
12-04-12,17.50
11-04-12,16.73
10-04-12,8.30
09-04-12,12.01
08-04-12,13.57
07-04-12,13.70
06-04-12,30.32
05-04-12,19.24
04-04-12,19.24
03-04-12,23.20
02-04-12,13.24
01-04-12,6.28

