Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-04-12,14.81
29-04-12,14.98
28-04-12,16.33
27-04-12,15.43
26-04-12,14.95
25-04-12,13.16
24-04-12,12.35
23-04-12,9.76
22-04-12,7.69
21-04-12,10.69
20-04-12,16.87
19-04-12,25.02
18-04-12,24.85
17-04-12,19.48
16-04-12,11.36
15-04-12,13.84
14-04-12,24.21
13-04-12,23.93
12-04-12,18.43
11-04-12,15.76
10-04-12,12.18
09-04-12,15.88
08-04-12,17.32
07-04-12,17.28
06-04-12,31.18
05-04-12,21.57
04-04-12,23.81
03-04-12,27.66
02-04-12,
01-04-12,

