Datum Zeit,Schwartenberg PM10
,µg/m³
30-09-00,33
29-09-00,39
28-09-00,42
27-09-00,40
26-09-00,49
25-09-00,27
24-09-00,20
23-09-00,14
22-09-00,11
21-09-00,11
20-09-00,39
19-09-00,27
18-09-00,31
17-09-00,15
16-09-00,29
15-09-00,34
14-09-00,25
13-09-00,25
12-09-00,31
11-09-00,
10-09-00,
09-09-00,22
08-09-00,25
07-09-00,14
06-09-00,12
05-09-00,19
04-09-00,14
03-09-00,10
02-09-00,11
01-09-00,34

