Datum Zeit,Dresden-Nord PM10
,µg/m³
30-09-00,49
29-09-00,48
28-09-00,46
27-09-00,40
26-09-00,44
25-09-00,32
24-09-00,27
23-09-00,27
22-09-00,42
21-09-00,30
20-09-00,29
19-09-00,31
18-09-00,21
17-09-00,26
16-09-00,31
15-09-00,30
14-09-00,51
13-09-00,60
12-09-00,37
11-09-00,38
10-09-00,33
09-09-00,41
08-09-00,39
07-09-00,35
06-09-00,38
05-09-00,32
04-09-00,25
03-09-00,17
02-09-00,38
01-09-00,38

