Datum Zeit,Leipzig-Mitte NO2
,µg/m³
01-10-00 00:00,58
30-09-00 23:00,74
30-09-00 22:00,73
30-09-00 21:00,69
30-09-00 20:00,68
30-09-00 19:00,85
30-09-00 18:00,66
30-09-00 17:00,54
30-09-00 16:00,48
30-09-00 15:00,42
30-09-00 14:00,52
30-09-00 13:00,
30-09-00 12:00,41
30-09-00 11:00,55
30-09-00 10:00,61
30-09-00 09:00,73
30-09-00 08:00,73
30-09-00 07:00,68
30-09-00 06:00,59
30-09-00 05:00,41
30-09-00 04:00,31
30-09-00 03:00,38
30-09-00 02:00,42
30-09-00 01:00,45
30-09-00 00:00,41
29-09-00 23:00,47
29-09-00 22:00,56
29-09-00 21:00,58
29-09-00 20:00,65
29-09-00 19:00,81
29-09-00 18:00,98
29-09-00 17:00,69
29-09-00 16:00,66
29-09-00 15:00,56
29-09-00 14:00,
29-09-00 13:00,71
29-09-00 12:00,56
29-09-00 11:00,68
29-09-00 10:00,77
29-09-00 09:00,77
29-09-00 08:00,85
29-09-00 07:00,88
29-09-00 06:00,70
29-09-00 05:00,47
29-09-00 04:00,41
29-09-00 03:00,46
29-09-00 02:00,48
29-09-00 01:00,53
29-09-00 00:00,54
28-09-00 23:00,64
28-09-00 22:00,59
28-09-00 21:00,59
28-09-00 20:00,69
28-09-00 19:00,118
28-09-00 18:00,103
28-09-00 17:00,91
28-09-00 16:00,66
28-09-00 15:00,67
28-09-00 14:00,
28-09-00 13:00,58
28-09-00 12:00,59
28-09-00 11:00,62
28-09-00 10:00,61
28-09-00 09:00,57
28-09-00 08:00,56
28-09-00 07:00,56
28-09-00 06:00,44
28-09-00 05:00,46
28-09-00 04:00,39
28-09-00 03:00,37
28-09-00 02:00,39
28-09-00 01:00,49
28-09-00 00:00,49
27-09-00 23:00,52
27-09-00 22:00,69
27-09-00 21:00,83
27-09-00 20:00,95
27-09-00 19:00,96
27-09-00 18:00,87
27-09-00 17:00,98
27-09-00 16:00,77
27-09-00 15:00,
27-09-00 14:00,49
27-09-00 13:00,42
27-09-00 12:00,45
27-09-00 11:00,51
27-09-00 10:00,59
