Datum Zeit,Bautzen SO2
,µg/m³
01-10-00 00:00,14.0
30-09-00 23:00,12.9
30-09-00 22:00,12.0
30-09-00 21:00,9.4
30-09-00 20:00,7.2
30-09-00 19:00,6.4
30-09-00 18:00,7.0
30-09-00 17:00,7.9
30-09-00 16:00,7.7
30-09-00 15:00,9.3
30-09-00 14:00,8.3
30-09-00 13:00,9.0
30-09-00 12:00,9.9
30-09-00 11:00,10.8
30-09-00 10:00,13.7
30-09-00 09:00,16.5
30-09-00 08:00,16.0
30-09-00 07:00,15.6
30-09-00 06:00,
30-09-00 05:00,15.3
30-09-00 04:00,16.3
30-09-00 03:00,13.9
30-09-00 02:00,13.4
30-09-00 01:00,11.8
30-09-00 00:00,9.7
29-09-00 23:00,8.4
29-09-00 22:00,8.9
29-09-00 21:00,9.2
29-09-00 20:00,14.8
29-09-00 19:00,21.0
29-09-00 18:00,8.6
29-09-00 17:00,8.2
29-09-00 16:00,9.9
29-09-00 15:00,13.4
29-09-00 14:00,13.8
29-09-00 13:00,13.6
29-09-00 12:00,14.3
29-09-00 11:00,14.4
29-09-00 10:00,16.4
29-09-00 09:00,17.3
29-09-00 08:00,18.2
29-09-00 07:00,18.9
29-09-00 06:00,
29-09-00 05:00,15.5
29-09-00 04:00,16.8
29-09-00 03:00,15.7
29-09-00 02:00,13.5
29-09-00 01:00,12.2
29-09-00 00:00,12.0
28-09-00 23:00,12.9
28-09-00 22:00,16.8
28-09-00 21:00,15.1
28-09-00 20:00,10.8
28-09-00 19:00,9.7
28-09-00 18:00,8.0
28-09-00 17:00,8.2
28-09-00 16:00,6.8
28-09-00 15:00,9.0
28-09-00 14:00,6.0
28-09-00 13:00,6.3
28-09-00 12:00,6.1
28-09-00 11:00,9.1
28-09-00 10:00,10.7
28-09-00 09:00,8.6
28-09-00 08:00,7.4
28-09-00 07:00,
28-09-00 06:00,5.0
28-09-00 05:00,6.5
28-09-00 04:00,5.2
28-09-00 03:00,5.3
28-09-00 02:00,4.8
28-09-00 01:00,6.4
28-09-00 00:00,6.8
27-09-00 23:00,6.9
27-09-00 22:00,7.3
27-09-00 21:00,6.0
27-09-00 20:00,6.5
27-09-00 19:00,5.7
27-09-00 18:00,3.4
27-09-00 17:00,2.2
27-09-00 16:00,2.9
27-09-00 15:00,2.1
27-09-00 14:00,2.7
27-09-00 13:00,2.8
27-09-00 12:00,4.3
27-09-00 11:00,7.9
27-09-00 10:00,9.9
27-09-00 09:00,8.8
27-09-00 08:00,6.5
27-09-00 07:00,
27-09-00 06:00,4.5
27-09-00 05:00,4.2
27-09-00 04:00,5.1
27-09-00 03:00,6.0
27-09-00 02:00,5.0
27-09-00 01:00,6.8
27-09-00 00:00,6.9
26-09-00 23:00,5.6
26-09-00 22:00,6.1
26-09-00 21:00,7.4
26-09-00 20:00,5.9
26-09-00 19:00,6.4
26-09-00 18:00,7.5
26-09-00 17:00,5.5
26-09-00 16:00,6.0
26-09-00 15:00,6.5
26-09-00 14:00,8.8
26-09-00 13:00,10.7
26-09-00 12:00,9.4
26-09-00 11:00,7.5
26-09-00 10:00,5.7
26-09-00 09:00,5.3
26-09-00 08:00,
26-09-00 07:00,7.0
26-09-00 06:00,11.8
26-09-00 05:00,9.5
26-09-00 04:00,7.8
26-09-00 03:00,7.5
26-09-00 02:00,8.1
26-09-00 01:00,9.1
26-09-00 00:00,6.5
25-09-00 23:00,5.3
25-09-00 22:00,4.2
25-09-00 21:00,4.1
25-09-00 20:00,4.1
25-09-00 19:00,5.9
25-09-00 18:00,6.8
25-09-00 17:00,6.1
25-09-00 16:00,6.9
25-09-00 15:00,4.9
25-09-00 14:00,4.6
25-09-00 13:00,8.0
25-09-00 12:00,9.3
25-09-00 11:00,10.4
25-09-00 10:00,12.0
25-09-00 09:00,10.0
25-09-00 08:00,
25-09-00 07:00,
25-09-00 06:00,
25-09-00 05:00,
25-09-00 04:00,
25-09-00 03:00,
25-09-00 02:00,
25-09-00 01:00,
25-09-00 00:00,
24-09-00 23:00,3.4
24-09-00 22:00,3.9
24-09-00 21:00,3.9
24-09-00 20:00,5.1
24-09-00 19:00,4.9
24-09-00 18:00,6.1
24-09-00 17:00,7.1
24-09-00 16:00,8.2
24-09-00 15:00,10.6
