Datum Zeit,Plauen-Sued NO2
,µg/m³
19-09-00 23:00,14
19-09-00 22:00,18
19-09-00 21:00,23
19-09-00 20:00,33
19-09-00 19:00,30
19-09-00 18:00,34
19-09-00 17:00,40
19-09-00 16:00,38
19-09-00 15:00,36
19-09-00 14:00,28
19-09-00 13:00,22
19-09-00 12:00,19
19-09-00 11:00,24
19-09-00 10:00,
19-09-00 09:00,29
19-09-00 08:00,34
19-09-00 07:00,27
19-09-00 06:00,18
19-09-00 05:00,12
19-09-00 04:00,13
19-09-00 03:00,11
19-09-00 02:00,9
19-09-00 01:00,10
19-09-00 00:00,11
18-09-00 23:00,14
18-09-00 22:00,17
18-09-00 21:00,16
18-09-00 20:00,21
18-09-00 19:00,33
18-09-00 18:00,44
18-09-00 17:00,47
18-09-00 16:00,47
18-09-00 15:00,34
18-09-00 14:00,29
18-09-00 13:00,32
18-09-00 12:00,32
18-09-00 11:00,
18-09-00 10:00,32
18-09-00 09:00,31
18-09-00 08:00,35
18-09-00 07:00,33
18-09-00 06:00,30
18-09-00 05:00,12
18-09-00 04:00,7
18-09-00 03:00,11
18-09-00 02:00,14
18-09-00 01:00,15
18-09-00 00:00,16
17-09-00 23:00,17
17-09-00 22:00,22
17-09-00 21:00,21
17-09-00 20:00,26
17-09-00 19:00,31
17-09-00 18:00,39
17-09-00 17:00,31
17-09-00 16:00,15
17-09-00 15:00,10
17-09-00 14:00,15
17-09-00 13:00,9
17-09-00 12:00,9
17-09-00 11:00,
17-09-00 10:00,9
17-09-00 09:00,12
17-09-00 08:00,11
17-09-00 07:00,15
17-09-00 06:00,10
17-09-00 05:00,12
17-09-00 04:00,9
17-09-00 03:00,10
17-09-00 02:00,11
17-09-00 01:00,8
17-09-00 00:00,8
16-09-00 23:00,11
16-09-00 22:00,18
16-09-00 21:00,20
16-09-00 20:00,15
16-09-00 19:00,28
16-09-00 18:00,26
16-09-00 17:00,19
16-09-00 16:00,17
16-09-00 15:00,21
16-09-00 14:00,21
16-09-00 13:00,15
16-09-00 12:00,
16-09-00 11:00,28
16-09-00 10:00,37
16-09-00 09:00,24
16-09-00 08:00,21
16-09-00 07:00,16
16-09-00 06:00,17
16-09-00 05:00,18
16-09-00 04:00,14
16-09-00 03:00,16
16-09-00 02:00,14
16-09-00 01:00,16
16-09-00 00:00,18
15-09-00 23:00,23
15-09-00 22:00,43
15-09-00 21:00,50
15-09-00 20:00,50
15-09-00 19:00,45
15-09-00 18:00,56
15-09-00 17:00,60
15-09-00 16:00,57
15-09-00 15:00,50
15-09-00 14:00,56
15-09-00 13:00,49
15-09-00 12:00,
15-09-00 11:00,53
15-09-00 10:00,51
15-09-00 09:00,40
15-09-00 08:00,30
15-09-00 07:00,28
15-09-00 06:00,20
15-09-00 05:00,15
15-09-00 04:00,17
15-09-00 03:00,21
15-09-00 02:00,21
15-09-00 01:00,21
15-09-00 00:00,25
14-09-00 23:00,36
14-09-00 22:00,40
14-09-00 21:00,48
14-09-00 20:00,63
14-09-00 19:00,46
14-09-00 18:00,47
14-09-00 17:00,44
14-09-00 16:00,43
14-09-00 15:00,27
14-09-00 14:00,28
14-09-00 13:00,
14-09-00 12:00,37
14-09-00 11:00,30
14-09-00 10:00,26
14-09-00 09:00,36
14-09-00 08:00,25
14-09-00 07:00,11
14-09-00 06:00,11
14-09-00 05:00,13
14-09-00 04:00,15
14-09-00 03:00,12
14-09-00 02:00,20
14-09-00 01:00,16
14-09-00 00:00,19
13-09-00 23:00,26
13-09-00 22:00,31
13-09-00 21:00,34
13-09-00 20:00,43
13-09-00 19:00,59
13-09-00 18:00,51
13-09-00 17:00,57
13-09-00 16:00,58
13-09-00 15:00,40
13-09-00 14:00,31
13-09-00 13:00,
13-09-00 12:00,60
13-09-00 11:00,62
13-09-00 10:00,62
13-09-00 09:00,59
13-09-00 08:00,44
13-09-00 07:00,38
13-09-00 06:00,31
13-09-00 05:00,33
13-09-00 04:00,29
13-09-00 03:00,26
13-09-00 02:00,24
13-09-00 01:00,21
13-09-00 00:00,29
12-09-00 23:00,30
12-09-00 22:00,39
12-09-00 21:00,32
12-09-00 20:00,33
12-09-00 19:00,48
12-09-00 18:00,66
12-09-00 17:00,79
12-09-00 16:00,61
12-09-00 15:00,49
12-09-00 14:00,
12-09-00 13:00,39
12-09-00 12:00,39
12-09-00 11:00,33
12-09-00 10:00,39
12-09-00 09:00,30
12-09-00 08:00,16
12-09-00 07:00,18
12-09-00 06:00,18
12-09-00 05:00,16
12-09-00 04:00,23
12-09-00 03:00,21
12-09-00 02:00,19
12-09-00 01:00,12
12-09-00 00:00,14
11-09-00 23:00,17
11-09-00 22:00,21
11-09-00 21:00,31
11-09-00 20:00,45
11-09-00 19:00,60
11-09-00 18:00,46
11-09-00 17:00,41
11-09-00 16:00,30
11-09-00 15:00,36
11-09-00 14:00,
11-09-00 13:00,32
11-09-00 12:00,33
11-09-00 11:00,43
11-09-00 10:00,41
11-09-00 09:00,30
11-09-00 08:00,17
11-09-00 07:00,15
11-09-00 06:00,13
11-09-00 05:00,7
11-09-00 04:00,10
11-09-00 03:00,9
11-09-00 02:00,9
11-09-00 01:00,11
11-09-00 00:00,12
10-09-00 23:00,15
10-09-00 22:00,19
10-09-00 21:00,25
10-09-00 20:00,36
10-09-00 19:00,36
10-09-00 18:00,27
10-09-00 17:00,28
10-09-00 16:00,31
10-09-00 15:00,
10-09-00 14:00,18
10-09-00 13:00,23
10-09-00 12:00,13
10-09-00 11:00,19
10-09-00 10:00,26
10-09-00 09:00,12
10-09-00 08:00,7
10-09-00 07:00,4
10-09-00 06:00,6
10-09-00 05:00,6
10-09-00 04:00,7
10-09-00 03:00,8
10-09-00 02:00,9
10-09-00 01:00,10
10-09-00 00:00,14
09-09-00 23:00,16
09-09-00 22:00,19
09-09-00 21:00,28
09-09-00 20:00,31
09-09-00 19:00,40
09-09-00 18:00,55
09-09-00 17:00,26
09-09-00 16:00,39
09-09-00 15:00,
09-09-00 14:00,19
09-09-00 13:00,36
09-09-00 12:00,27
09-09-00 11:00,34
09-09-00 10:00,30
09-09-00 09:00,27
09-09-00 08:00,20
09-09-00 07:00,14
09-09-00 06:00,10
09-09-00 05:00,14
09-09-00 04:00,13
09-09-00 03:00,15
09-09-00 02:00,18
09-09-00 01:00,19
09-09-00 00:00,17
08-09-00 23:00,23
08-09-00 22:00,25
08-09-00 21:00,30
08-09-00 20:00,36
08-09-00 19:00,45
08-09-00 18:00,39
08-09-00 17:00,37
08-09-00 16:00,
08-09-00 15:00,31
08-09-00 14:00,33
08-09-00 13:00,35
08-09-00 12:00,33
08-09-00 11:00,34
08-09-00 10:00,30
08-09-00 09:00,31
08-09-00 08:00,32
08-09-00 07:00,28
08-09-00 06:00,29
08-09-00 05:00,24
08-09-00 04:00,22
08-09-00 03:00,16
08-09-00 02:00,11
08-09-00 01:00,10
08-09-00 00:00,7
07-09-00 23:00,7
07-09-00 22:00,7
07-09-00 21:00,9
07-09-00 20:00,20
07-09-00 19:00,27
07-09-00 18:00,20
07-09-00 17:00,23
07-09-00 16:00,
07-09-00 15:00,28
07-09-00 14:00,22
07-09-00 13:00,24
07-09-00 12:00,30
07-09-00 11:00,26
07-09-00 10:00,33
07-09-00 09:00,40
07-09-00 08:00,39
07-09-00 07:00,36
07-09-00 06:00,30
07-09-00 05:00,25
07-09-00 04:00,24
07-09-00 03:00,28
07-09-00 02:00,18
07-09-00 01:00,9
07-09-00 00:00,10
06-09-00 23:00,12
06-09-00 22:00,20
06-09-00 21:00,23
06-09-00 20:00,32
06-09-00 19:00,45
06-09-00 18:00,57
06-09-00 17:00,
06-09-00 16:00,45
06-09-00 15:00,42
06-09-00 14:00,49
06-09-00 13:00,48
06-09-00 12:00,44
06-09-00 11:00,36
06-09-00 10:00,33
06-09-00 09:00,30
06-09-00 08:00,29
06-09-00 07:00,22
06-09-00 06:00,16
06-09-00 05:00,16
06-09-00 04:00,15
06-09-00 03:00,16
06-09-00 02:00,15
06-09-00 01:00,18
06-09-00 00:00,21
05-09-00 23:00,17
05-09-00 22:00,20
05-09-00 21:00,24
05-09-00 20:00,24
05-09-00 19:00,33
05-09-00 18:00,41
05-09-00 17:00,
05-09-00 16:00,26
05-09-00 15:00,30
05-09-00 14:00,21
05-09-00 13:00,18
05-09-00 12:00,25
05-09-00 11:00,25
05-09-00 10:00,30
05-09-00 09:00,30
05-09-00 08:00,30
05-09-00 07:00,23
05-09-00 06:00,23
05-09-00 05:00,19
05-09-00 04:00,18
05-09-00 03:00,15
05-09-00 02:00,16
05-09-00 01:00,16
05-09-00 00:00,13
04-09-00 23:00,14
04-09-00 22:00,24
04-09-00 21:00,26
04-09-00 20:00,36
04-09-00 19:00,43
04-09-00 18:00,
04-09-00 17:00,15
04-09-00 16:00,17
04-09-00 15:00,19
04-09-00 14:00,21
04-09-00 13:00,21
04-09-00 12:00,22
04-09-00 11:00,20
04-09-00 10:00,18
04-09-00 09:00,19
04-09-00 08:00,20
04-09-00 07:00,25
04-09-00 06:00,23
04-09-00 05:00,35
04-09-00 04:00,36
04-09-00 03:00,27
04-09-00 02:00,21
04-09-00 01:00,20
04-09-00 00:00,11
03-09-00 23:00,14
03-09-00 22:00,33
03-09-00 21:00,26
03-09-00 20:00,30
03-09-00 19:00,26
03-09-00 18:00,
03-09-00 17:00,19
03-09-00 16:00,18
03-09-00 15:00,13
03-09-00 14:00,9
03-09-00 13:00,7
03-09-00 12:00,5
03-09-00 11:00,15
03-09-00 10:00,21
03-09-00 09:00,16
03-09-00 08:00,12
03-09-00 07:00,10
03-09-00 06:00,12
03-09-00 05:00,13
03-09-00 04:00,14
03-09-00 03:00,17
03-09-00 02:00,14
03-09-00 01:00,13
03-09-00 00:00,13
02-09-00 23:00,12
02-09-00 22:00,12
02-09-00 21:00,13
02-09-00 20:00,15
02-09-00 19:00,
02-09-00 18:00,17
02-09-00 17:00,19
02-09-00 16:00,19
02-09-00 15:00,21
02-09-00 14:00,28
02-09-00 13:00,23
02-09-00 12:00,22
02-09-00 11:00,22
02-09-00 10:00,22
02-09-00 09:00,29
02-09-00 08:00,26
02-09-00 07:00,29
02-09-00 06:00,26
02-09-00 05:00,22
02-09-00 04:00,14
02-09-00 03:00,9
02-09-00 02:00,15
02-09-00 01:00,22
02-09-00 00:00,30
01-09-00 23:00,27
01-09-00 22:00,31
01-09-00 21:00,41
01-09-00 20:00,58
01-09-00 19:00,
01-09-00 18:00,79
01-09-00 17:00,64
01-09-00 16:00,50
01-09-00 15:00,60
01-09-00 14:00,55
01-09-00 13:00,62
01-09-00 12:00,57
01-09-00 11:00,51
01-09-00 10:00,42
01-09-00 09:00,33
01-09-00 08:00,31
01-09-00 07:00,26
01-09-00 06:00,24
01-09-00 05:00,24
01-09-00 04:00,19
01-09-00 03:00,16
01-09-00 02:00,17
01-09-00 01:00,15

