Datum Zeit,Bautzen BEN
,µg/m³
01-10-00 00:00,1.3
30-09-00 23:00,1.3
30-09-00 22:00,1.2
30-09-00 21:00,1.2
30-09-00 20:00,1.2
30-09-00 19:00,1.2
30-09-00 18:00,1.1
30-09-00 17:00,0.9
30-09-00 16:00,1.0
30-09-00 15:00,1.0
30-09-00 14:00,1.1
30-09-00 13:00,1.0
30-09-00 12:00,1.1
30-09-00 11:00,1.2
30-09-00 10:00,1.3
30-09-00 09:00,1.3
30-09-00 08:00,1.3
30-09-00 07:00,1.2
30-09-00 06:00,1.2
30-09-00 05:00,1.1
30-09-00 04:00,1.1
30-09-00 03:00,1.1
30-09-00 02:00,1.1
30-09-00 01:00,1.1
30-09-00 00:00,1.2
29-09-00 23:00,1.2
29-09-00 22:00,1.4
29-09-00 21:00,1.2
29-09-00 20:00,1.1
29-09-00 19:00,1.2
29-09-00 18:00,1.0
29-09-00 17:00,0.9
29-09-00 16:00,1.1
29-09-00 15:00,1.0
29-09-00 14:00,1.2
29-09-00 13:00,1.0
29-09-00 12:00,1.2
29-09-00 11:00,1.3
29-09-00 10:00,1.2
29-09-00 09:00,1.2
29-09-00 08:00,2.0
29-09-00 07:00,2.0
29-09-00 06:00,1.3
29-09-00 05:00,1.2
29-09-00 04:00,1.1
29-09-00 03:00,1.1
29-09-00 02:00,1.1
29-09-00 01:00,1.2
29-09-00 00:00,1.4
28-09-00 23:00,1.4
28-09-00 22:00,1.3
28-09-00 21:00,1.5
28-09-00 20:00,1.5
28-09-00 19:00,1.4
28-09-00 18:00,1.3
28-09-00 17:00,1.2
28-09-00 16:00,1.1
28-09-00 15:00,1.1
28-09-00 14:00,1.0
28-09-00 13:00,1.1
28-09-00 12:00,1.2
28-09-00 11:00,1.3
28-09-00 10:00,1.3
28-09-00 09:00,1.3
28-09-00 08:00,1.3
28-09-00 07:00,2.3
28-09-00 06:00,2.3
28-09-00 05:00,1.9
28-09-00 04:00,1.6
28-09-00 03:00,1.5
28-09-00 02:00,
28-09-00 01:00,
28-09-00 00:00,
27-09-00 23:00,
27-09-00 22:00,
27-09-00 21:00,1.7
27-09-00 20:00,1.5
27-09-00 19:00,1.4
27-09-00 18:00,1.0
27-09-00 17:00,1.0
27-09-00 16:00,0.9
27-09-00 15:00,1.0
27-09-00 14:00,1.0
27-09-00 13:00,1.0
27-09-00 12:00,1.2
27-09-00 11:00,1.1
27-09-00 10:00,1.4
27-09-00 09:00,1.3
27-09-00 08:00,1.4
27-09-00 07:00,1.5
27-09-00 06:00,1.3
27-09-00 05:00,1.2
27-09-00 04:00,1.1
27-09-00 03:00,1.1
27-09-00 02:00,1.1
27-09-00 01:00,1.2
27-09-00 00:00,1.3
26-09-00 23:00,1.5
26-09-00 22:00,1.7
26-09-00 21:00,1.8
26-09-00 20:00,2.0
26-09-00 19:00,2.0
26-09-00 18:00,1.6
26-09-00 17:00,1.4
26-09-00 16:00,1.4
26-09-00 15:00,1.2
26-09-00 14:00,1.3
26-09-00 13:00,1.3
26-09-00 12:00,1.8
26-09-00 11:00,1.7
26-09-00 10:00,1.9
26-09-00 09:00,1.9
26-09-00 08:00,2.2
26-09-00 07:00,3.2
26-09-00 06:00,2.1
26-09-00 05:00,2.9
26-09-00 04:00,1.3
