Datum Zeit,Goerlitz NO2
,µg/m³
01-10-00 00:00,
30-09-00 23:00,32
30-09-00 22:00,20
30-09-00 21:00,22
30-09-00 20:00,17
30-09-00 19:00,19
30-09-00 18:00,30
30-09-00 17:00,18
30-09-00 16:00,25
30-09-00 15:00,31
30-09-00 14:00,35
30-09-00 13:00,31
30-09-00 12:00,26
30-09-00 11:00,39
30-09-00 10:00,19
30-09-00 09:00,24
30-09-00 08:00,45
30-09-00 07:00,60
30-09-00 06:00,51
30-09-00 05:00,58
30-09-00 04:00,38
30-09-00 03:00,49
30-09-00 02:00,41
30-09-00 01:00,
30-09-00 00:00,26
29-09-00 23:00,12
29-09-00 22:00,18
29-09-00 21:00,18
29-09-00 20:00,18
29-09-00 19:00,26
29-09-00 18:00,47
29-09-00 17:00,51
29-09-00 16:00,43
29-09-00 15:00,61
29-09-00 14:00,62
29-09-00 13:00,44
29-09-00 12:00,55
29-09-00 11:00,40
29-09-00 10:00,48
29-09-00 09:00,39
29-09-00 08:00,71
29-09-00 07:00,65
29-09-00 06:00,55
29-09-00 05:00,48
29-09-00 04:00,23
29-09-00 03:00,17
29-09-00 02:00,14
29-09-00 01:00,
29-09-00 00:00,22
28-09-00 23:00,36
28-09-00 22:00,33
28-09-00 21:00,48
28-09-00 20:00,49
28-09-00 19:00,68
28-09-00 18:00,70
28-09-00 17:00,60
28-09-00 16:00,84
28-09-00 15:00,84
28-09-00 14:00,73
28-09-00 13:00,56
28-09-00 12:00,72
28-09-00 11:00,69
28-09-00 10:00,71
28-09-00 09:00,80
28-09-00 08:00,84
28-09-00 07:00,87
28-09-00 06:00,65
28-09-00 05:00,38
28-09-00 04:00,25
28-09-00 03:00,32
28-09-00 02:00,
28-09-00 01:00,34
28-09-00 00:00,34
27-09-00 23:00,45
27-09-00 22:00,47
27-09-00 21:00,40
27-09-00 20:00,55
27-09-00 19:00,66
27-09-00 18:00,66
27-09-00 17:00,62
27-09-00 16:00,64
27-09-00 15:00,69
27-09-00 14:00,66
27-09-00 13:00,60
27-09-00 12:00,63
27-09-00 11:00,58
27-09-00 10:00,59
27-09-00 09:00,55
27-09-00 08:00,63
27-09-00 07:00,53
27-09-00 06:00,48
27-09-00 05:00,34
27-09-00 04:00,49
27-09-00 03:00,54
27-09-00 02:00,
27-09-00 01:00,50
27-09-00 00:00,42
26-09-00 23:00,54
26-09-00 22:00,56
26-09-00 21:00,69
26-09-00 20:00,75
26-09-00 19:00,54
26-09-00 18:00,75
26-09-00 17:00,72
26-09-00 16:00,70
26-09-00 15:00,62
26-09-00 14:00,51
26-09-00 13:00,52
26-09-00 12:00,60
26-09-00 11:00,65
26-09-00 10:00,56
26-09-00 09:00,56
26-09-00 08:00,55
26-09-00 07:00,69
26-09-00 06:00,47
26-09-00 05:00,29
26-09-00 04:00,27
26-09-00 03:00,
26-09-00 02:00,28
26-09-00 01:00,22
26-09-00 00:00,16
25-09-00 23:00,37
25-09-00 22:00,35
25-09-00 21:00,54
25-09-00 20:00,56
25-09-00 19:00,58
25-09-00 18:00,59
25-09-00 17:00,56
25-09-00 16:00,47
25-09-00 15:00,54
25-09-00 14:00,40
25-09-00 13:00,38
25-09-00 12:00,41
25-09-00 11:00,41
25-09-00 10:00,43
25-09-00 09:00,54
25-09-00 08:00,51
25-09-00 07:00,49
25-09-00 06:00,41
25-09-00 05:00,32
25-09-00 04:00,29
25-09-00 03:00,
25-09-00 02:00,23
25-09-00 01:00,29
25-09-00 00:00,22
24-09-00 23:00,48
24-09-00 22:00,36
24-09-00 21:00,16
24-09-00 20:00,14
24-09-00 19:00,12
24-09-00 18:00,10
24-09-00 17:00,9
24-09-00 16:00,8
24-09-00 15:00,8
24-09-00 14:00,9
24-09-00 13:00,8
24-09-00 12:00,7
24-09-00 11:00,9
24-09-00 10:00,10
24-09-00 09:00,11
24-09-00 08:00,16
24-09-00 07:00,21
24-09-00 06:00,20
24-09-00 05:00,21
24-09-00 04:00,
24-09-00 03:00,18
24-09-00 02:00,26
24-09-00 01:00,34
24-09-00 00:00,29
23-09-00 23:00,16
23-09-00 22:00,12
23-09-00 21:00,15
23-09-00 20:00,20
23-09-00 19:00,15
23-09-00 18:00,10
23-09-00 17:00,9
23-09-00 16:00,8
23-09-00 15:00,8
23-09-00 14:00,8
23-09-00 13:00,8
23-09-00 12:00,7
23-09-00 11:00,8
23-09-00 10:00,10
23-09-00 09:00,17
23-09-00 08:00,22
23-09-00 07:00,28
23-09-00 06:00,24
23-09-00 05:00,24
23-09-00 04:00,
23-09-00 03:00,29
23-09-00 02:00,30
23-09-00 01:00,31
23-09-00 00:00,38
22-09-00 23:00,39
22-09-00 22:00,37
22-09-00 21:00,43
22-09-00 20:00,49
22-09-00 19:00,26
22-09-00 18:00,18
22-09-00 17:00,14
22-09-00 16:00,14
22-09-00 15:00,11
22-09-00 14:00,13
22-09-00 13:00,11
22-09-00 12:00,10
22-09-00 11:00,11
22-09-00 10:00,13
22-09-00 09:00,14
22-09-00 08:00,18
22-09-00 07:00,17
22-09-00 06:00,17
22-09-00 05:00,
22-09-00 04:00,10
22-09-00 03:00,11
22-09-00 02:00,10
22-09-00 01:00,9
22-09-00 00:00,10
21-09-00 23:00,12
21-09-00 22:00,14
21-09-00 21:00,16
21-09-00 20:00,15
21-09-00 19:00,14
21-09-00 18:00,16
21-09-00 17:00,16
21-09-00 16:00,14
21-09-00 15:00,14
21-09-00 14:00,16
21-09-00 13:00,13
21-09-00 12:00,14
21-09-00 11:00,13
21-09-00 10:00,12
21-09-00 09:00,11
21-09-00 08:00,12
21-09-00 07:00,14
21-09-00 06:00,13
21-09-00 05:00,
21-09-00 04:00,8
21-09-00 03:00,7
21-09-00 02:00,6
21-09-00 01:00,7
21-09-00 00:00,6
20-09-00 23:00,8
20-09-00 22:00,9
20-09-00 21:00,11
20-09-00 20:00,13
20-09-00 19:00,14
20-09-00 18:00,16
20-09-00 17:00,15
20-09-00 16:00,15
20-09-00 15:00,16
20-09-00 14:00,11
20-09-00 13:00,11
20-09-00 12:00,10
20-09-00 11:00,11
20-09-00 10:00,14
20-09-00 09:00,17
20-09-00 08:00,16
20-09-00 07:00,22
20-09-00 06:00,
20-09-00 05:00,12
20-09-00 04:00,11
20-09-00 03:00,10
20-09-00 02:00,10
20-09-00 01:00,11
20-09-00 00:00,12
19-09-00 23:00,15
19-09-00 22:00,15
19-09-00 21:00,14
19-09-00 20:00,13
19-09-00 19:00,13
19-09-00 18:00,11
19-09-00 17:00,9
19-09-00 16:00,9
19-09-00 15:00,11
19-09-00 14:00,10
19-09-00 13:00,10
19-09-00 12:00,8
19-09-00 11:00,11
19-09-00 10:00,11
19-09-00 09:00,18
19-09-00 08:00,18
19-09-00 07:00,30
19-09-00 06:00,
19-09-00 05:00,12
19-09-00 04:00,10
19-09-00 03:00,8
19-09-00 02:00,7
19-09-00 01:00,7
19-09-00 00:00,8
18-09-00 23:00,10
18-09-00 22:00,10
18-09-00 21:00,8
18-09-00 20:00,11
18-09-00 19:00,17
18-09-00 18:00,15
18-09-00 17:00,12
18-09-00 16:00,10
18-09-00 15:00,9
18-09-00 14:00,8
18-09-00 13:00,9
18-09-00 12:00,8
18-09-00 11:00,8
18-09-00 10:00,9
18-09-00 09:00,10
18-09-00 08:00,11
18-09-00 07:00,
18-09-00 06:00,10
18-09-00 05:00,8
18-09-00 04:00,5
18-09-00 03:00,5
18-09-00 02:00,6
18-09-00 01:00,6
18-09-00 00:00,6
17-09-00 23:00,7
17-09-00 22:00,6
17-09-00 21:00,6
17-09-00 20:00,7
