Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
31-08-17,
30-08-17,
29-08-17,
28-08-17,
27-08-17,
26-08-17,
25-08-17,16
24-08-17,16
23-08-17,12
22-08-17,12
21-08-17,9
20-08-17,7
19-08-17,9
18-08-17,12
17-08-17,13
16-08-17,10
15-08-17,12
14-08-17,11
13-08-17,4
12-08-17,4
11-08-17,6
10-08-17,12
09-08-17,8
08-08-17,14
07-08-17,12
06-08-17,9
05-08-17,8
04-08-17,11
03-08-17,15
02-08-17,12
01-08-17,16

