Datum Zeit,Glauchau PM10
,µg/m³
31-08-17,
30-08-17,
29-08-17,
28-08-17,
27-08-17,
26-08-17,
25-08-17,
24-08-17,
23-08-17,
22-08-17,12
21-08-17,10
20-08-17,7
19-08-17,6
18-08-17,11
17-08-17,15
16-08-17,11
15-08-17,13
14-08-17,10
13-08-17,5
12-08-17,4
11-08-17,8
10-08-17,16
09-08-17,11
08-08-17,14
07-08-17,13
06-08-17,10
05-08-17,12
04-08-17,13
03-08-17,17
02-08-17,16
01-08-17,15

