Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-03-05,
30-03-05,23.59
29-03-05,
28-03-05,24.22
27-03-05,
26-03-05,7.28
25-03-05,
24-03-05,51.66
23-03-05,
22-03-05,33.98
21-03-05,
20-03-05,17.28
19-03-05,
18-03-05,4.53
17-03-05,
16-03-05,
15-03-05,
14-03-05,
13-03-05,
12-03-05,
11-03-05,
10-03-05,
09-03-05,
08-03-05,
07-03-05,
06-03-05,31.94
05-03-05,
04-03-05,47.54
03-03-05,
02-03-05,
01-03-05,

