Datum Zeit,Goerlitz NO2
,µg/m³
01-04-05 00:00,19
31-03-05 23:00,22
31-03-05 22:00,28
31-03-05 21:00,28
31-03-05 20:00,22
31-03-05 19:00,17
31-03-05 18:00,16
31-03-05 17:00,14
31-03-05 16:00,14
31-03-05 15:00,14
31-03-05 14:00,11
31-03-05 13:00,11
31-03-05 12:00,11
31-03-05 11:00,12
31-03-05 10:00,15
31-03-05 09:00,19
31-03-05 08:00,23
31-03-05 07:00,23
31-03-05 06:00,17
31-03-05 05:00,15
31-03-05 04:00,14
31-03-05 03:00,14
31-03-05 02:00,14
31-03-05 01:00,14
31-03-05 00:00,14
30-03-05 23:00,15
30-03-05 22:00,18
30-03-05 21:00,20
30-03-05 20:00,19
30-03-05 19:00,21
30-03-05 18:00,21
30-03-05 17:00,18
30-03-05 16:00,17
30-03-05 15:00,18
30-03-05 14:00,17
30-03-05 13:00,19
30-03-05 12:00,18
30-03-05 11:00,18
30-03-05 10:00,22
30-03-05 09:00,21
30-03-05 08:00,23
30-03-05 07:00,28
30-03-05 06:00,26
30-03-05 05:00,23
30-03-05 04:00,22
30-03-05 03:00,24
30-03-05 02:00,25
30-03-05 01:00,26
30-03-05 00:00,26
29-03-05 23:00,25
29-03-05 22:00,25
29-03-05 21:00,21
29-03-05 20:00,18
29-03-05 19:00,19
29-03-05 18:00,18
29-03-05 17:00,16
29-03-05 16:00,12
29-03-05 15:00,10
29-03-05 14:00,10
29-03-05 13:00,12
29-03-05 12:00,11
29-03-05 11:00,12
29-03-05 10:00,13
29-03-05 09:00,19
29-03-05 08:00,36
29-03-05 07:00,46
29-03-05 06:00,53
29-03-05 05:00,46
29-03-05 04:00,32
29-03-05 03:00,24
29-03-05 02:00,16
29-03-05 01:00,17
29-03-05 00:00,17
28-03-05 23:00,16
28-03-05 22:00,11
28-03-05 21:00,11
28-03-05 20:00,13
28-03-05 19:00,12
28-03-05 18:00,10
28-03-05 17:00,10
28-03-05 16:00,8
28-03-05 15:00,7
28-03-05 14:00,6
28-03-05 13:00,7
28-03-05 12:00,8
28-03-05 11:00,9
28-03-05 10:00,9
28-03-05 09:00,8
28-03-05 08:00,8
28-03-05 07:00,8
28-03-05 06:00,8
28-03-05 05:00,9
28-03-05 04:00,10
28-03-05 03:00,10
28-03-05 02:00,11
28-03-05 01:00,12
28-03-05 00:00,13
27-03-05 23:00,13
27-03-05 22:00,14
27-03-05 21:00,13
27-03-05 20:00,11
27-03-05 19:00,9
27-03-05 18:00,13
27-03-05 17:00,10
27-03-05 16:00,7
27-03-05 15:00,7
27-03-05 14:00,6
27-03-05 13:00,10
27-03-05 12:00,14
27-03-05 11:00,10
27-03-05 10:00,10
27-03-05 09:00,15
27-03-05 08:00,17
27-03-05 07:00,20
27-03-05 06:00,26
27-03-05 05:00,32
27-03-05 04:00,24
27-03-05 03:00,20
27-03-05 02:00,29
27-03-05 01:00,30
27-03-05 00:00,34
26-03-05 23:00,39
26-03-05 22:00,25
26-03-05 21:00,14
26-03-05 20:00,16
26-03-05 19:00,17
26-03-05 18:00,13
26-03-05 17:00,12
26-03-05 16:00,26
26-03-05 15:00,46
26-03-05 14:00,43
26-03-05 13:00,34
26-03-05 12:00,42
26-03-05 11:00,48
26-03-05 10:00,47
26-03-05 09:00,38
26-03-05 08:00,34
26-03-05 07:00,40
26-03-05 06:00,31
26-03-05 05:00,29
26-03-05 04:00,27
26-03-05 03:00,21
26-03-05 02:00,42
26-03-05 01:00,35
26-03-05 00:00,41
25-03-05 23:00,60
25-03-05 22:00,58
25-03-05 21:00,74
25-03-05 20:00,64
25-03-05 19:00,60
25-03-05 18:00,55
25-03-05 17:00,
25-03-05 16:00,
25-03-05 15:00,
25-03-05 14:00,
25-03-05 13:00,
25-03-05 12:00,
25-03-05 11:00,
25-03-05 10:00,
25-03-05 09:00,
25-03-05 08:00,
25-03-05 07:00,
25-03-05 06:00,
25-03-05 05:00,
25-03-05 04:00,
25-03-05 03:00,
25-03-05 02:00,
25-03-05 01:00,
25-03-05 00:00,
24-03-05 23:00,
