Datum Zeit,Radebeul-Wahnsdorf SO2
,µg/m³
01-04-05 00:00,4.1
31-03-05 23:00,2.7
31-03-05 22:00,3.3
31-03-05 21:00,4.2
31-03-05 20:00,5.8
31-03-05 19:00,8.0
31-03-05 18:00,9.6
31-03-05 17:00,6.9
31-03-05 16:00,4.9
31-03-05 15:00,4.9
31-03-05 14:00,6.3
31-03-05 13:00,6.9
31-03-05 12:00,8.1
31-03-05 11:00,10.7
31-03-05 10:00,17.0
31-03-05 09:00,8.2
31-03-05 08:00,6.8
31-03-05 07:00,6.0
31-03-05 06:00,4.9
31-03-05 05:00,5.3
31-03-05 04:00,3.6
31-03-05 03:00,3.8
31-03-05 02:00,4.4
31-03-05 01:00,4.4
31-03-05 00:00,4.2
30-03-05 23:00,3.9
30-03-05 22:00,3.8
30-03-05 21:00,8.3
30-03-05 20:00,11.0
30-03-05 19:00,8.0
30-03-05 18:00,4.4
30-03-05 17:00,4.1
30-03-05 16:00,6.0
30-03-05 15:00,11.4
30-03-05 14:00,12.2
30-03-05 13:00,5.8
30-03-05 12:00,6.6
30-03-05 11:00,6.7
30-03-05 10:00,8.1
30-03-05 09:00,7.4
30-03-05 08:00,7.0
30-03-05 07:00,6.2
30-03-05 06:00,7.8
30-03-05 05:00,8.3
30-03-05 04:00,7.3
30-03-05 03:00,5.6
30-03-05 02:00,7.3
30-03-05 01:00,6.0
30-03-05 00:00,4.6
29-03-05 23:00,4.8
29-03-05 22:00,4.6
29-03-05 21:00,5.3
29-03-05 20:00,5.8
29-03-05 19:00,6.4
29-03-05 18:00,7.0
29-03-05 17:00,8.7
29-03-05 16:00,8.7
29-03-05 15:00,6.1
29-03-05 14:00,7.1
29-03-05 13:00,9.4
29-03-05 12:00,8.5
29-03-05 11:00,8.9
29-03-05 10:00,7.8
29-03-05 09:00,7.1
29-03-05 08:00,7.7
29-03-05 07:00,3.9
29-03-05 06:00,2.2
29-03-05 05:00,2.0
29-03-05 04:00,1.9
29-03-05 03:00,2.2
29-03-05 02:00,1.9
29-03-05 01:00,1.8
29-03-05 00:00,1.7
28-03-05 23:00,2.5
28-03-05 22:00,3.1
28-03-05 21:00,3.2
28-03-05 20:00,2.2
28-03-05 19:00,1.4
28-03-05 18:00,1.0
28-03-05 17:00,1.0
28-03-05 16:00,1.0
28-03-05 15:00,1.0
28-03-05 14:00,1.0
28-03-05 13:00,1.0
28-03-05 12:00,1.0
28-03-05 11:00,1.0
28-03-05 10:00,1.0
28-03-05 09:00,1.0
28-03-05 08:00,1.0
28-03-05 07:00,1.0
28-03-05 06:00,1.0
28-03-05 05:00,1.0
28-03-05 04:00,1.0
28-03-05 03:00,1.0
28-03-05 02:00,1.0
28-03-05 01:00,2.0
28-03-05 00:00,4.2
27-03-05 23:00,6.3
27-03-05 22:00,7.2
27-03-05 21:00,6.5
27-03-05 20:00,2.8
27-03-05 19:00,3.4
27-03-05 18:00,3.2
27-03-05 17:00,2.9
27-03-05 16:00,1.9
27-03-05 15:00,1.3
27-03-05 14:00,1.8
27-03-05 13:00,3.6
27-03-05 12:00,3.7
27-03-05 11:00,3.4
27-03-05 10:00,1.7
27-03-05 09:00,2.2
27-03-05 08:00,2.1
27-03-05 07:00,1.8
27-03-05 06:00,2.6
27-03-05 05:00,2.5
27-03-05 04:00,2.0
27-03-05 03:00,2.0
27-03-05 02:00,1.9
27-03-05 01:00,2.3
27-03-05 00:00,1.3
26-03-05 23:00,1.0
26-03-05 22:00,1.4
26-03-05 21:00,1.7
26-03-05 20:00,1.0
26-03-05 19:00,1.0
26-03-05 18:00,1.0
26-03-05 17:00,1.0
26-03-05 16:00,1.0
26-03-05 15:00,1.0
26-03-05 14:00,1.0
26-03-05 13:00,1.0
26-03-05 12:00,1.0
26-03-05 11:00,1.0
26-03-05 10:00,1.0
26-03-05 09:00,1.0
26-03-05 08:00,1.0
26-03-05 07:00,1.0
26-03-05 06:00,1.0
26-03-05 05:00,1.0
26-03-05 04:00,1.0
26-03-05 03:00,1.0
26-03-05 02:00,1.0
26-03-05 01:00,1.0
26-03-05 00:00,1.9
25-03-05 23:00,2.6
25-03-05 22:00,7.6
25-03-05 21:00,20.1
25-03-05 20:00,15.9
25-03-05 19:00,16.1
25-03-05 18:00,12.7
25-03-05 17:00,13.1
25-03-05 16:00,11.4
25-03-05 15:00,9.1
25-03-05 14:00,9.6
25-03-05 13:00,10.9
25-03-05 12:00,13.8
25-03-05 11:00,15.2
25-03-05 10:00,14.1
25-03-05 09:00,9.8
25-03-05 08:00,8.7
