Datum Zeit,Collmberg PM10
,µg/m³
31-03-05,31
30-03-05,38
29-03-05,37
28-03-05,46
27-03-05,53
26-03-05,13
25-03-05,74
24-03-05,61
23-03-05,47
22-03-05,41
21-03-05,23
20-03-05,19
19-03-05,8
18-03-05,23
17-03-05,24
16-03-05,34
15-03-05,29
14-03-05,22
13-03-05,8
12-03-05,6
11-03-05,21
10-03-05,12
09-03-05,19
08-03-05,18
07-03-05,31
06-03-05,37
05-03-05,69
04-03-05,55
03-03-05,50
02-03-05,23
01-03-05,17

