Datum Zeit,Freiberg PM10
,µg/m³
31-10-14,21
30-10-14,45
29-10-14,34
28-10-14,27
27-10-14,30
26-10-14,20
25-10-14,19
24-10-14,23
23-10-14,18
22-10-14,6
21-10-14,13
20-10-14,10
19-10-14,9
18-10-14,14
17-10-14,13
16-10-14,14
15-10-14,14
14-10-14,15
13-10-14,24
12-10-14,14
11-10-14,20
10-10-14,21
09-10-14,21
08-10-14,21
07-10-14,32
06-10-14,36
05-10-14,33
04-10-14,31
03-10-14,23
02-10-14,40
01-10-14,33

