Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-10-14,19.46
30-10-14,31.11
29-10-14,27.33
28-10-14,18.57
27-10-14,17.45
26-10-14,16.10
25-10-14,13.54
24-10-14,15.76
23-10-14,13.72
22-10-14,5.24
21-10-14,6.37
20-10-14,6.77
19-10-14,7.51
18-10-14,10.42
17-10-14,10.10
16-10-14,9.93
15-10-14,11.30
14-10-14,11.16
13-10-14,17.29
12-10-14,10.77
11-10-14,19.48
10-10-14,12.80
09-10-14,16.96
08-10-14,13.63
07-10-14,22.75
06-10-14,27.31
05-10-14,24.20
04-10-14,24.38
03-10-14,21.99
02-10-14,29.68
01-10-14,26.55

