Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-10-14,21.12
30-10-14,31.12
29-10-14,31.94
28-10-14,22.90
27-10-14,15.35
26-10-14,17.82
25-10-14,18.84
24-10-14,18.90
23-10-14,16.37
22-10-14,6.53
21-10-14,8.07
20-10-14,7.72
19-10-14,9.55
18-10-14,11.49
17-10-14,10.83
16-10-14,11.97
15-10-14,11.54
14-10-14,12.75
13-10-14,17.81
12-10-14,12.75
11-10-14,27.69
10-10-14,11.48
09-10-14,14.51
08-10-14,8.72
07-10-14,22.57
06-10-14,29.22
05-10-14,26.66
04-10-14,28.49
03-10-14,26.19
02-10-14,47.27
01-10-14,31.26

