Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-10-14,19.62
30-10-14,29.47
29-10-14,29.51
28-10-14,20.04
27-10-14,12.87
26-10-14,16.39
25-10-14,15.15
24-10-14,15.29
23-10-14,11.56
22-10-14,4.61
21-10-14,4.50
20-10-14,5.40
19-10-14,6.97
18-10-14,7.66
17-10-14,5.89
16-10-14,8.09
15-10-14,8.01
14-10-14,8.61
13-10-14,13.62
12-10-14,9.55
11-10-14,26.45
10-10-14,7.25
09-10-14,10.11
08-10-14,5.24
07-10-14,17.22
06-10-14,23.92
05-10-14,21.66
04-10-14,23.50
03-10-14,21.46
02-10-14,35.19
01-10-14,22.74

