Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-14,21.15
30-10-14,25.36
29-10-14,26.25
28-10-14,18.27
27-10-14,14.39
26-10-14,14.68
25-10-14,12.76
24-10-14,9.81
23-10-14,1.32
22-10-14,1.88
21-10-14,4.01
20-10-14,3.80
19-10-14,5.43
18-10-14,8.23
17-10-14,5.04
16-10-14,7.22
15-10-14,6.18
14-10-14,6.93
13-10-14,11.70
12-10-14,8.81
11-10-14,23.37
10-10-14,7.55
09-10-14,13.70
08-10-14,8.11
07-10-14,20.55
06-10-14,21.86
05-10-14,23.22
04-10-14,22.26
03-10-14,21.07
02-10-14,27.93
01-10-14,22.07

