Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-10-14,17.99
30-10-14,23.71
29-10-14,27.33
28-10-14,16.89
27-10-14,14.96
26-10-14,12.57
25-10-14,14.56
24-10-14,13.59
23-10-14,6.07
22-10-14,4.10
21-10-14,4.62
20-10-14,4.59
19-10-14,6.13
18-10-14,6.86
17-10-14,6.15
16-10-14,7.90
15-10-14,7.70
14-10-14,7.05
13-10-14,14.22
12-10-14,11.57
11-10-14,13.80
10-10-14,10.78
09-10-14,15.85
08-10-14,12.70
07-10-14,21.20
06-10-14,26.74
05-10-14,23.81
04-10-14,22.31
03-10-14,21.22
02-10-14,24.25
01-10-14,20.51

