Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
31-10-14,45
30-10-14,51
29-10-14,31
28-10-14,23
27-10-14,25
26-10-14,30
25-10-14,23
24-10-14,18
23-10-14,20
22-10-14,6
21-10-14,10
20-10-14,8
19-10-14,13
18-10-14,13
17-10-14,10
16-10-14,11
15-10-14,12
14-10-14,12
13-10-14,23
12-10-14,13
11-10-14,31
10-10-14,24
09-10-14,24
08-10-14,28
07-10-14,36
06-10-14,27
05-10-14,28
04-10-14,28
03-10-14,24
02-10-14,31
01-10-14,30

