Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-09-10,14.25
29-09-10,8.19
28-09-10,7.25
27-09-10,5.99
26-09-10,4.94
25-09-10,15.03
24-09-10,24.70
23-09-10,17.66
22-09-10,16.73
21-09-10,16.84
20-09-10,15.99
19-09-10,11.21
18-09-10,8.85
17-09-10,9.61
16-09-10,7.30
15-09-10,8.05
14-09-10,13.38
13-09-10,14.07
12-09-10,17.14
11-09-10,19.94
10-09-10,17.31
09-09-10,12.46
08-09-10,12.78
07-09-10,9.98
06-09-10,11.43
05-09-10,12.43
04-09-10,11.92
03-09-10,9.73
02-09-10,10.68
01-09-10,9.11

