Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-10,8.95
29-09-10,5.43
28-09-10,7.00
27-09-10,5.40
26-09-10,7.17
25-09-10,7.03
24-09-10,26.96
23-09-10,22.47
22-09-10,18.95
21-09-10,13.42
20-09-10,15.32
19-09-10,12.31
18-09-10,9.40
17-09-10,9.20
16-09-10,7.52
15-09-10,7.71
14-09-10,11.53
13-09-10,14.04
12-09-10,14.62
11-09-10,16.54
10-09-10,21.88
09-09-10,10.42
08-09-10,12.83
07-09-10,10.96
06-09-10,8.52
05-09-10,9.36
04-09-10,9.35
03-09-10,12.10
02-09-10,13.83
01-09-10,10.58

