Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-09-10,6.99
29-09-10,4.54
28-09-10,3.26
27-09-10,2.57
26-09-10,3.12
25-09-10,13.74
24-09-10,23.71
23-09-10,15.58
22-09-10,13.37
21-09-10,11.00
20-09-10,
19-09-10,10.23
18-09-10,7.16
17-09-10,5.18
16-09-10,4.13
15-09-10,3.65
14-09-10,5.68
13-09-10,9.71
12-09-10,15.84
11-09-10,14.84
10-09-10,12.69
09-09-10,6.67
08-09-10,11.13
07-09-10,8.80
06-09-10,7.03
05-09-10,10.10
04-09-10,8.49
03-09-10,6.24
02-09-10,7.00
01-09-10,4.99

