Datum Zeit,Zittau-Ost PM10
,µg/m³
30-09-10,14
29-09-10,7
28-09-10,3
27-09-10,5
26-09-10,3
25-09-10,34
24-09-10,31
23-09-10,23
22-09-10,26
21-09-10,20
20-09-10,
19-09-10,16
18-09-10,11
17-09-10,12
16-09-10,9
15-09-10,10
14-09-10,11
13-09-10,22
12-09-10,22
11-09-10,19
10-09-10,19
09-09-10,17
08-09-10,35
07-09-10,30
06-09-10,17
05-09-10,18
04-09-10,14
03-09-10,11
02-09-10,9
01-09-10,8

