Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
30-09-10,17
29-09-10,12
28-09-10,12
27-09-10,9
26-09-10,13
25-09-10,11
24-09-10,42
23-09-10,41
22-09-10,34
21-09-10,26
20-09-10,29
19-09-10,21
18-09-10,17
17-09-10,21
16-09-10,15
15-09-10,14
14-09-10,22
13-09-10,24
12-09-10,22
11-09-10,28
10-09-10,32
09-09-10,18
08-09-10,22
07-09-10,19
06-09-10,16
05-09-10,16
04-09-10,16
03-09-10,20
02-09-10,25
01-09-10,18

