Datum Zeit,Carlsfeld PM10
,µg/m³
30-09-10,6
29-09-10,5
28-09-10,1
27-09-10,4
26-09-10,5
25-09-10,3
24-09-10,19
23-09-10,14
22-09-10,13
21-09-10,9
20-09-10,11
19-09-10,9
18-09-10,7
17-09-10,6
16-09-10,7
15-09-10,5
14-09-10,6
13-09-10,6
12-09-10,10
11-09-10,7
10-09-10,10
09-09-10,4
08-09-10,7
07-09-10,10
06-09-10,9
05-09-10,9
04-09-10,7
03-09-10,10
02-09-10,6
01-09-10,6

