Datum Zeit,Collmberg PM10
,µg/m³
30-06-07,9
29-06-07,9
28-06-07,9
27-06-07,10
26-06-07,10
25-06-07,8
24-06-07,8
23-06-07,9
22-06-07,10
21-06-07,13
20-06-07,15
19-06-07,12
18-06-07,9
17-06-07,8
16-06-07,7
15-06-07,11
14-06-07,18
13-06-07,28
12-06-07,20
11-06-07,
10-06-07,21
09-06-07,38
08-06-07,20
07-06-07,26
06-06-07,28
05-06-07,20
04-06-07,14
03-06-07,8
02-06-07,12
01-06-07,19

