Datum Zeit,Chemnitz-Hans-Link-Straße PM10_HVS
,µg/m³
30-04-18,
29-04-18,
28-04-18,
27-04-18,
26-04-18,
25-04-18,
24-04-18,
23-04-18,
22-04-18,
21-04-18,
20-04-18,
19-04-18,
18-04-18,
17-04-18,26.34
16-04-18,22.12
15-04-18,16.22
14-04-18,13.14
13-04-18,17.20
12-04-18,18.03
11-04-18,20.81
10-04-18,
09-04-18,22.60
08-04-18,20.12
07-04-18,11.72
06-04-18,11.01
05-04-18,6.56
04-04-18,21.27
03-04-18,8.58
02-04-18,15.77
01-04-18,21.47

