Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-14,6.97
30-05-14,6.60
29-05-14,3.21
28-05-14,3.03
27-05-14,9.14
26-05-14,7.99
25-05-14,6.25
24-05-14,8.65
23-05-14,9.79
22-05-14,12.45
21-05-14,9.66
20-05-14,11.05
19-05-14,8.10
18-05-14,4.79
17-05-14,6.80
16-05-14,5.15
15-05-14,5.60
14-05-14,4.61
13-05-14,4.44
12-05-14,5.25
11-05-14,6.25
10-05-14,9.97
09-05-14,
08-05-14,7.56
07-05-14,8.17
06-05-14,15.89
05-05-14,12.71
04-05-14,12.56
03-05-14,11.79
02-05-14,13.28
01-05-14,28.92

