Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-14,8.91
30-05-14,9.08
29-05-14,3.90
28-05-14,7.61
27-05-14,15.49
26-05-14,9.71
25-05-14,8.53
24-05-14,10.82
23-05-14,10.58
22-05-14,16.12
21-05-14,13.40
20-05-14,11.92
19-05-14,9.89
18-05-14,5.97
17-05-14,11.09
16-05-14,9.11
15-05-14,8.89
14-05-14,7.55
13-05-14,8.61
12-05-14,6.15
11-05-14,5.17
10-05-14,7.05
09-05-14,7.01
08-05-14,9.25
07-05-14,9.83
06-05-14,17.75
05-05-14,16.32
04-05-14,11.22
03-05-14,11.41
02-05-14,7.49
01-05-14,23.09

