Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-05-14,9.25
30-05-14,5.85
29-05-14,2.75
28-05-14,2.72
27-05-14,
26-05-14,
25-05-14,6.62
24-05-14,7.59
23-05-14,11.43
22-05-14,14.77
21-05-14,11.16
20-05-14,13.65
19-05-14,7.29
18-05-14,4.64
17-05-14,7.18
16-05-14,5.23
15-05-14,6.40
14-05-14,5.98
13-05-14,4.02
12-05-14,3.15
11-05-14,2.93
10-05-14,4.20
09-05-14,3.62
08-05-14,7.39
07-05-14,5.51
06-05-14,12.82
05-05-14,12.23
04-05-14,12.06
03-05-14,9.93
02-05-14,7.05
01-05-14,56.45

