Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-14,9.70
30-05-14,7.25
29-05-14,2.45
28-05-14,4.02
27-05-14,15.57
26-05-14,8.50
25-05-14,7.38
24-05-14,10.20
23-05-14,11.13
22-05-14,16.11
21-05-14,14.32
20-05-14,13.94
19-05-14,9.69
18-05-14,6.27
17-05-14,8.99
16-05-14,5.60
15-05-14,7.82
14-05-14,5.97
13-05-14,6.56
12-05-14,5.48
11-05-14,3.67
10-05-14,5.95
09-05-14,5.93
08-05-14,7.68
07-05-14,7.66
06-05-14,15.27
05-05-14,14.51
04-05-14,12.22
03-05-14,11.09
02-05-14,9.48
01-05-14,69.57

