Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-14,6.64
30-05-14,5.77
29-05-14,2.17
28-05-14,0.97
27-05-14,8.43
26-05-14,8.06
25-05-14,5.15
24-05-14,5.63
23-05-14,7.30
22-05-14,11.85
21-05-14,8.29
20-05-14,8.44
19-05-14,5.70
18-05-14,1.81
17-05-14,5.49
16-05-14,4.26
15-05-14,
14-05-14,3.73
13-05-14,4.19
12-05-14,3.06
11-05-14,5.75
10-05-14,4.09
09-05-14,3.52
08-05-14,5.06
07-05-14,5.86
06-05-14,11.37
05-05-14,7.28
04-05-14,7.41
03-05-14,5.77
02-05-14,3.80
01-05-14,19.16

