Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-14,8.81
30-05-14,7.49
29-05-14,4.05
28-05-14,3.51
27-05-14,11.91
26-05-14,8.86
25-05-14,7.53
24-05-14,11.09
23-05-14,12.41
22-05-14,13.00
21-05-14,10.51
20-05-14,12.15
19-05-14,8.70
18-05-14,5.13
17-05-14,7.97
16-05-14,6.12
15-05-14,6.51
14-05-14,5.87
13-05-14,6.24
12-05-14,5.24
11-05-14,4.12
10-05-14,5.65
09-05-14,5.48
08-05-14,7.22
07-05-14,7.89
06-05-14,13.55
05-05-14,10.41
04-05-14,10.77
03-05-14,12.51
02-05-14,11.70
01-05-14,31.15

