Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-14,9.43
30-05-14,9.02
29-05-14,4.32
28-05-14,7.99
27-05-14,14.67
26-05-14,11.74
25-05-14,8.09
24-05-14,12.97
23-05-14,14.42
22-05-14,14.61
21-05-14,10.89
20-05-14,12.69
19-05-14,11.54
18-05-14,5.90
17-05-14,8.47
16-05-14,7.80
15-05-14,7.22
14-05-14,6.01
13-05-14,7.08
12-05-14,6.14
11-05-14,4.33
10-05-14,5.72
09-05-14,7.00
08-05-14,8.06
07-05-14,8.87
06-05-14,14.48
05-05-14,13.63
04-05-14,9.41
03-05-14,11.81
02-05-14,14.20
01-05-14,28.65

