Datum Zeit,Leipzig-Luetzner Straße PM10_HVS
,µg/m³
31-01-18,
30-01-18,
29-01-18,
28-01-18,
27-01-18,
26-01-18,
25-01-18,
24-01-18,
23-01-18,
22-01-18,
21-01-18,
20-01-18,
19-01-18,
18-01-18,
17-01-18,
16-01-18,8.62
15-01-18,17.78
14-01-18,31.75
13-01-18,33.61
12-01-18,42.64
11-01-18,48.24
10-01-18,52.37
09-01-18,44.46
08-01-18,25.47
07-01-18,11.53
06-01-18,23.27
05-01-18,16.59
04-01-18,13.44
03-01-18,6.02
02-01-18,8.87
01-01-18,26.69

