Datum Zeit,Borna NO2
,µg/m³
01-02-18 00:00,
31-01-18 23:00,
31-01-18 22:00,
31-01-18 21:00,
31-01-18 20:00,
31-01-18 19:00,
31-01-18 18:00,
31-01-18 17:00,
31-01-18 16:00,
31-01-18 15:00,
31-01-18 14:00,
31-01-18 13:00,
31-01-18 12:00,
31-01-18 11:00,
31-01-18 10:00,
31-01-18 09:00,
31-01-18 08:00,
31-01-18 07:00,
31-01-18 06:00,
31-01-18 05:00,
31-01-18 04:00,
31-01-18 03:00,
31-01-18 02:00,
31-01-18 01:00,
31-01-18 00:00,
30-01-18 23:00,
30-01-18 22:00,
30-01-18 21:00,
30-01-18 20:00,
30-01-18 19:00,
30-01-18 18:00,
30-01-18 17:00,
30-01-18 16:00,
30-01-18 15:00,
30-01-18 14:00,
30-01-18 13:00,
30-01-18 12:00,
30-01-18 11:00,
30-01-18 10:00,
30-01-18 09:00,
30-01-18 08:00,
30-01-18 07:00,
30-01-18 06:00,
30-01-18 05:00,
30-01-18 04:00,
30-01-18 03:00,
30-01-18 02:00,
30-01-18 01:00,
30-01-18 00:00,
29-01-18 23:00,
29-01-18 22:00,
29-01-18 21:00,
29-01-18 20:00,
29-01-18 19:00,
29-01-18 18:00,
29-01-18 17:00,
29-01-18 16:00,
29-01-18 15:00,
29-01-18 14:00,
29-01-18 13:00,
29-01-18 12:00,
29-01-18 11:00,
29-01-18 10:00,
29-01-18 09:00,
29-01-18 08:00,
29-01-18 07:00,
29-01-18 06:00,
29-01-18 05:00,
29-01-18 04:00,
29-01-18 03:00,
29-01-18 02:00,
29-01-18 01:00,
29-01-18 00:00,
28-01-18 23:00,
28-01-18 22:00,
28-01-18 21:00,
28-01-18 20:00,
28-01-18 19:00,
28-01-18 18:00,
28-01-18 17:00,
28-01-18 16:00,
28-01-18 15:00,
28-01-18 14:00,
28-01-18 13:00,
28-01-18 12:00,
28-01-18 11:00,
28-01-18 10:00,
28-01-18 09:00,
28-01-18 08:00,
28-01-18 07:00,
28-01-18 06:00,
28-01-18 05:00,6
28-01-18 04:00,7
28-01-18 03:00,8
28-01-18 02:00,13
28-01-18 01:00,13
28-01-18 00:00,14
27-01-18 23:00,16
27-01-18 22:00,20
27-01-18 21:00,26
27-01-18 20:00,32
27-01-18 19:00,35
27-01-18 18:00,42
27-01-18 17:00,36
27-01-18 16:00,26
27-01-18 15:00,22
27-01-18 14:00,23
27-01-18 13:00,29
27-01-18 12:00,34
27-01-18 11:00,35
27-01-18 10:00,24
27-01-18 09:00,29
27-01-18 08:00,25
27-01-18 07:00,18
27-01-18 06:00,15
27-01-18 05:00,22
27-01-18 04:00,18
27-01-18 03:00,18
27-01-18 02:00,19
27-01-18 01:00,21
27-01-18 00:00,29
26-01-18 23:00,28
26-01-18 22:00,20
26-01-18 21:00,27
26-01-18 20:00,28
26-01-18 19:00,28
26-01-18 18:00,31
26-01-18 17:00,29
26-01-18 16:00,24
26-01-18 15:00,20
26-01-18 14:00,24
26-01-18 13:00,15
26-01-18 12:00,17
26-01-18 11:00,15
26-01-18 10:00,26
26-01-18 09:00,45
26-01-18 08:00,50
26-01-18 07:00,43
26-01-18 06:00,39
26-01-18 05:00,21
26-01-18 04:00,25
26-01-18 03:00,25
26-01-18 02:00,29
26-01-18 01:00,32
26-01-18 00:00,33
25-01-18 23:00,35
25-01-18 22:00,30
25-01-18 21:00,35
25-01-18 20:00,51
25-01-18 19:00,46
25-01-18 18:00,51
25-01-18 17:00,54
25-01-18 16:00,56
25-01-18 15:00,41
25-01-18 14:00,31
25-01-18 13:00,25
25-01-18 12:00,25
25-01-18 11:00,24
25-01-18 10:00,26
25-01-18 09:00,26
25-01-18 08:00,28
25-01-18 07:00,20
25-01-18 06:00,15
25-01-18 05:00,12
25-01-18 04:00,13
25-01-18 03:00,14
25-01-18 02:00,18
25-01-18 01:00,17
